language.EnglishName|language.hlCode|language.google|menu.next|menu.nextVideo|menu.previous|menu.select|menu.videoSegment|menu.language|index.para.1|index.para.2|dbs.title|dbs.para.1|dbs.para.2|dbs.para.3|life.title|life.para.1|life.para.2|life.para.3|life.para.4|jVideo.title|jVideo.para.1|jVideo.para.2|lead.title|lead.para.1|lead.para.2|lead.para.3
twig|twig|twig||||||||||||||||||||||||
English|eng00|en|Next|Next Video|Previous|Select|Video Segment|Select Language|Spiritual growth isn’t a solo journey — it happens in community. We all need wisdom we can trust and people who encourage us along the way. The lessons below will help you discover how God’s wisdom shapes lives, builds genuine relationships, and reveals His love and care for you.|Gather your friends and start exploring! Click on the images below to begin your journey — discovering not just wisdom, but a relationship with God and the spiritual community He invites you into.|Discovering Spiritual Community|Discovering Spiritual Community takes you on a journey through history, exploring how people have connected with God from the very beginning—through challenges, questions, and life-changing moments. If you're curious about faith, purpose, and what it means to belong, this series is a great place to start.|Gather your friends and read how God prepared people for the arrival of Jesus and the spiritual community he started.|Select your favourite language by clicking on the world globe above.|Life Issues|Life Issues explores the practical teachings of Jesus and his early followers — wisdom that has changed lives for centuries. Many have experienced transformation by inviting Jesus to help them live out these truths. Could this be true for you too?|Gather your friends and see what you discover as you discuss the following questions.|Gather your friends and see what you discover as you discuss the following questions.|Select your favourite language by clicking on the world globe above.|The Life of Jesus|Jesus' words and actions have shaped history, offering a wisdom that stands apart. As you watch this video, ask yourself: What did Jesus teach? How does his wisdom compare to what others have said — and what could it mean for you?|This video is available in many languages. To change the language click the world globe above.|Discovering Leadership|Discovering Leadership explores the principles Jesus taught his leaders — wisdom that has shaped servant-hearted leadership for generations. Many have experienced transformation by relying on Jesus to help them lead with purpose and integrity. Could this shape your leadership too?|Gather your friends and see what you discover as you discuss the following questions.|Select your favourite language by clicking on the world globe above.
Afrikaans|afk00|af|Volgende|Volgende video|Vorige|Kies|Video segment|Kies Taal|Geestelike groei is nie 'n solo-reis nie - dit gebeur in die gemeenskap. Ons het almal wysheid nodig wat ons kan vertrou en mense wat ons langs die pad aanmoedig. Die lesse hieronder sal jou help om te ontdek hoe God se wysheid lewens vorm, egte verhoudings bou en Sy liefde en sorg vir jou openbaar.|Versamel jou vriende en begin verken! Klik op die prente hieronder om jou reis te begin - ontdek nie net wysheid nie, maar 'n verhouding met God en die geestelike gemeenskap waarin Hy jou nooi.|Ontdek geestelike gemeenskap|Discovering Spiritual Community neem jou op 'n reis deur die geskiedenis, en ondersoek hoe mense van die begin af met God verbind het - deur uitdagings, vrae en lewensveranderende oomblikke. As jy nuuskierig is oor geloof, doel en wat dit beteken om te behoort, is hierdie reeks 'n goeie plek om te begin.|Versamel jou vriende en lees hoe God mense voorberei het vir die koms van Jesus en die geestelike gemeenskap wat hy begin het.|Kies jou gunsteling taal deur op die wêreldbol hierbo te klik.|Lewenskwessies|Life Issues ondersoek die praktiese leringe van Jesus en sy vroeë volgelinge - wysheid wat lewens vir eeue verander het. Baie het transformasie ervaar deur Jesus te nooi om hulle te help om hierdie waarhede uit te leef. Kan dit vir jou ook waar wees?|Versamel jou vriende en kyk wat jy ontdek terwyl jy die volgende vrae bespreek.|Versamel jou vriende en kyk wat jy ontdek terwyl jy die volgende vrae bespreek.|Kies jou gunsteling taal deur op die wêreldbol hierbo te klik.|Die Lewe van Jesus|Jesus se woorde en optrede het die geskiedenis gevorm, en bied 'n wysheid wat apart staan. Terwyl jy hierdie video kyk, vra jouself af: Wat het Jesus geleer? Hoe vergelyk sy wysheid met wat ander gesê het - en wat kan dit vir jou beteken?|Hierdie video is in baie tale beskikbaar. Klik op die wêreldbol hierbo om die taal te verander.|Leierskap ontdek|Ontdek Leierskap ondersoek die beginsels wat Jesus sy leiers geleer het – wysheid wat dienskneg-hart leierskap vir geslagte lank gevorm het. Baie het transformasie ervaar deur op Jesus te vertrou om hulle te help om met doelgerigtheid en integriteit te lei. Kan dit jou leierskap ook vorm?|Versamel jou vriende en kyk wat jy ontdek terwyl jy die volgende vrae bespreek.|Kies jou gunsteling taal deur op die wêreldbol hierbo te klik.
Albanian|aln00|sq|Tjetra|Videoja e radhës|E mëparshme|Zgjidhni|Segmenti i videos|Zgjidhni gjuhën|Rritja shpirtërore nuk është një udhëtim i vetëm - ndodh në komunitet. Ne të gjithë kemi nevojë për mençuri të cilës mund t'i besojmë dhe njerëz që na inkurajojnë gjatë rrugës. Mësimet e mëposhtme do t'ju ndihmojnë të zbuloni se si mençuria e Perëndisë i formëson jetët, ndërton marrëdhënie të vërteta dhe zbulon dashurinë dhe kujdesin e Tij për ju.|Mblidhni miqtë tuaj dhe filloni të eksploroni! Klikoni mbi imazhet më poshtë për të filluar udhëtimin tuaj - duke zbuluar jo vetëm mençurinë, por një marrëdhënie me Perëndinë dhe komunitetin shpirtëror në të cilin Ai ju fton.|Zbulimi i Komunitetit Shpirtëror|Zbulimi i Komunitetit Shpirtëror ju çon në një udhëtim nëpër histori, duke eksploruar se si njerëzit janë lidhur me Perëndinë që në fillim - përmes sfidave, pyetjeve dhe momenteve që ndryshojnë jetën. Nëse jeni kurioz për besimin, qëllimin dhe çfarë do të thotë të përkasësh, kjo seri është një vend i mrekullueshëm për të filluar.|Mblidhni miqtë tuaj dhe lexoni se si Perëndia i përgatiti njerëzit për ardhjen e Jezusit dhe komunitetin shpirtëror që ai filloi.|Zgjidhni gjuhën tuaj të preferuar duke klikuar mbi globin botëror më lart.|Çështjet e Jetës|Life Issues eksploron mësimet praktike të Jezusit dhe ndjekësve të tij të hershëm - mençuri që ka ndryshuar jetë për shekuj. Shumë e kanë përjetuar transformimin duke e ftuar Jezusin që t'i ndihmojë t'i kuptojnë këto të vërteta. A mund të jetë kjo e vërtetë edhe për ju?|Mblidhni miqtë tuaj dhe shikoni se çfarë zbuloni ndërsa diskutoni pyetjet e mëposhtme.|Mblidhni miqtë tuaj dhe shikoni se çfarë zbuloni ndërsa diskutoni pyetjet e mëposhtme.|Zgjidhni gjuhën tuaj të preferuar duke klikuar mbi globin botëror më lart.|Jeta e Jezusit|Fjalët dhe veprimet e Jezusit kanë formësuar historinë, duke ofruar një urtësi që qëndron veçmas. Ndërsa shikoni këtë video, pyesni veten: Çfarë mësoi Jezusi? Si krahasohet mençuria e tij me atë që kanë thënë të tjerët - dhe çfarë mund të thotë për ju?|Kjo video është e disponueshme në shumë gjuhë. Për të ndryshuar gjuhën, klikoni globin botëror më lart.|Zbulimi i Lidershipit|Zbulimi i Udhëheqjes eksploron parimet që Jezusi u mësoi udhëheqësve të tij - urtësi që ka formësuar udhëheqjen me zemër shërbëtore për breza. Shumë prej tyre kanë përjetuar transformim duke u mbështetur te Jezusi për t'i ndihmuar ata të udhëheqin me qëllim dhe integritet. A mund të formojë kjo edhe lidershipin tuaj?|Mblidhni miqtë tuaj dhe shikoni se çfarë zbuloni ndërsa diskutoni pyetjet e mëposhtme.|Zgjidhni gjuhën tuaj të preferuar duke klikuar mbi globin botëror më lart.
Amharic||am|ቀጥሎ|ቀጣይ ቪዲዮ|ቀዳሚ|ይምረጡ|የቪዲዮ ክፍል|ቋንቋ ይምረጡ|መንፈሳዊ እድገት ብቸኛ ጉዞ አይደለም - በማህበረሰብ ውስጥ ይከሰታል። ሁላችንም የምንታመንበት ጥበብ እና በመንገድ ላይ የሚያበረታቱን ሰዎች እንፈልጋለን። ከታች ያሉት ትምህርቶች የእግዚአብሔር ጥበብ ህይወቶችን እንዴት እንደሚቀርፅ፣ እውነተኛ ግንኙነቶችን እንደሚገነባ፣ እና ለእርስዎ ያለውን ፍቅር እና እንክብካቤ እንዴት እንደሚገልፅ ለማወቅ ይረዳዎታል።|ጓደኞችዎን ሰብስቡ እና ማሰስ ይጀምሩ! ጉዞዎን ለመጀመር ከታች ያሉትን ምስሎች ጠቅ ያድርጉ - ጥበብን ብቻ ሳይሆን ከእግዚአብሔር እና እሱ ከሚጋብዝዎት መንፈሳዊ ማህበረሰብ ጋር ያለውን ግንኙነት ማወቅ።|መንፈሳዊ ማህበረሰብን ማግኘት|መንፈሳዊ ማህበረሰብን መፈለግ በታሪክ ውስጥ ሰዎች ከእግዚአብሔር ጋር እንዴት እንደተገናኙ ከመጀመሪያ ጀምሮ - በተግዳሮቶች፣ ጥያቄዎች እና ህይወት በሚለዋወጡ ጊዜያት ማሰስ ይመራዎታል። ስለ እምነት፣ ዓላማ እና አባል መሆን ምን ማለት እንደሆነ ለማወቅ የሚፈልጉ ከሆነ፣ ይህ ተከታታይ ለመጀመር ጥሩ ቦታ ነው።|ጓደኞችህን ሰብስብ እና እግዚአብሔር ሰዎችን ለኢየሱስ መምጣት እና እርሱ የጀመረውን መንፈሳዊ ማህበረሰብ እንዴት እንዳዘጋጀ አንብብ።|ከላይ ያለውን የአለም ሉል ጠቅ በማድረግ የሚወዱትን ቋንቋ ይምረጡ።|የሕይወት ጉዳዮች|የሕይወት ጉዳዮች የኢየሱስንና የጥንቶቹ ተከታዮቹን ተግባራዊ ትምህርቶች ይዳስሳል - ለዘመናት ሕይወትን የለወጠ ጥበብ። ብዙዎች ኢየሱስ እነዚህን እውነቶች እንዲኖሩ እንዲረዳቸው በመጋበዝ ለውጥ አግኝተዋል። ይህ ለእርስዎም እውነት ሊሆን ይችላል?|በሚከተሉት ጥያቄዎች ላይ በምትወያይበት ጊዜ ጓደኞችህን ሰብስብ እና ያገኘኸውን ተመልከት።|በሚከተሉት ጥያቄዎች ላይ በምትወያይበት ጊዜ ጓደኞችህን ሰብስብ እና ያገኘኸውን ተመልከት።|ከላይ ያለውን የአለም ሉል ጠቅ በማድረግ የሚወዱትን ቋንቋ ይምረጡ።|የኢየሱስ ሕይወት|የኢየሱስ ቃላትና ድርጊቶች ታሪክን ቀርጸውታል፤ ይህም ልዩ የሆነ ጥበብ ሰጥቷል። ይህን ቪዲዮ ስትመለከት ራስህን ጠይቅ:- ኢየሱስ ያስተማረው ምንድን ነው? የእሱ ጥበብ ከሌሎች ከተናገሩት ጋር እንዴት ይነጻጸራል - እና ለእርስዎ ምን ትርጉም አለው?|ይህ ቪዲዮ በብዙ ቋንቋዎች ይገኛል። ቋንቋውን ለመቀየር ከላይ ያለውን የአለም ሉል ጠቅ ያድርጉ።|አመራር ማግኘት|አመራርን ፈልጎ ማግኘት ኢየሱስ መሪዎቹን ያስተማራቸውን መርሆች ይዳስሳል-ጥበብ አገልጋይ-ልብ አመራርን ለትውልድ የቀረጸ። ብዙዎች በዓላማና በንጹሕ አቋማቸው እንዲመሩ ለመርዳት በኢየሱስ በመታመን ለውጥ አግኝተዋል። ይህ የእርስዎን አመራር ሊቀርጽ ይችላል?|በሚከተሉት ጥያቄዎች ላይ በምትወያይበት ጊዜ ጓደኞችህን ሰብስብ እና ያገኘኸውን ተመልከት።|ከላይ ያለውን የአለም ሉል ጠቅ በማድረግ የሚወዱትን ቋንቋ ይምረጡ።
Arabic|arq00|ar|التالي|الفيديو التالي|سابق|يختار|مقطع الفيديو|اختر اللغة|النمو الروحي ليس رحلة فردية، بل يحدث في المجتمع. نحتاج جميعًا إلى الحكمة التي يمكننا الوثوق بها والأشخاص الذين يشجعوننا على طول الطريق. ستساعدك الدروس أدناه على اكتشاف كيف تشكل حكمة الله الحياة، وتبني علاقات حقيقية، وتكشف عن محبته ورعايته لك.|اجمع أصدقاءك وابدأ في الاستكشاف! انقر على الصور أدناه لتبدأ رحلتك - لا تكتشف الحكمة فحسب، بل تكتشف العلاقة مع الله والمجتمع الروحي الذي يدعوك إليه.|اكتشاف المجتمع الروحي|يأخذك اكتشاف المجتمع الروحي في رحلة عبر التاريخ، واستكشاف كيفية تواصل الناس مع الله منذ البداية - من خلال التحديات والأسئلة واللحظات المتغيرة للحياة. إذا كنت مهتمًا بالإيمان والغرض وما يعنيه الانتماء، فهذه السلسلة هي مكان رائع للبدء.|اجمع أصدقاءك واقرأ كيف أعد الله الناس لوصول يسوع والمجتمع الروحي الذي بدأه.|اختر لغتك المفضلة من خلال النقر على الكرة الأرضية أعلاه.|قضايا الحياة|تستكشف قضايا الحياة التعاليم العملية ليسوع وأتباعه الأوائل - الحكمة التي غيرت حياة الناس لعدة قرون. لقد اختبر الكثيرون التحول من خلال دعوة يسوع لمساعدتهم على العيش بحسب هذه الحقائق. هل يمكن أن يكون هذا صحيحًا بالنسبة لك أيضًا؟|اجمع أصدقاءك وشاهد ما تكتشفه أثناء مناقشة الأسئلة التالية.|اجمع أصدقاءك وشاهد ما تكتشفه أثناء مناقشة الأسئلة التالية.|اختر لغتك المفضلة من خلال النقر على الكرة الأرضية أعلاه.|حياة يسوع|لقد شكلت كلمات يسوع وأفعاله التاريخ، وقدمت حكمة متميزة. أثناء مشاهدتك لهذا الفيديو، اسأل نفسك: ماذا علم يسوع؟ كيف يمكن مقارنة حكمته بما قاله الآخرون – وماذا يمكن أن تعني لك؟|هذا الفيديو متوفر بالعديد من اللغات. لتغيير اللغة، انقر فوق الكرة الأرضية أعلاه.|اكتشاف القيادة|يستكشف اكتشاف القيادة المبادئ التي علمها يسوع لقادته - الحكمة التي شكلت القيادة الخادمة لأجيال. لقد اختبر الكثيرون التحول من خلال الاعتماد على يسوع لمساعدتهم على القيادة بهدف ونزاهة. هل يمكن أن يشكل هذا قيادتك أيضًا؟|اجمع أصدقاءك وشاهد ما تكتشفه أثناء مناقشة الأسئلة التالية.|اختر لغتك المفضلة من خلال النقر على الكرة الأرضية أعلاه.
Armenian|arm00|hy|Հաջորդը|Հաջորդ տեսանյութը|Նախորդ|Ընտրել|Տեսանյութի հատված|Ընտրեք Լեզուն|Հոգևոր աճը միայնակ ճանապարհորդություն չէ, այն տեղի է ունենում համայնքում: Մենք բոլորս իմաստության կարիք ունենք, որին կարող ենք վստահել, և մարդկանց, ովքեր մեզ քաջալերում են ճանապարհին: Ստորև բերված դասերը կօգնեն ձեզ բացահայտել, թե ինչպես է Աստծո իմաստությունը ձևավորում կյանքը, կառուցում իսկական հարաբերություններ և բացահայտում Նրա սերն ու հոգատարությունը ձեր հանդեպ:|Հավաքեք ձեր ընկերներին և սկսեք ուսումնասիրել: Սեղմեք ստորև բերված պատկերների վրա՝ ձեր ճանապարհորդությունը սկսելու համար՝ բացահայտելով ոչ միայն իմաստություն, այլ հարաբերություն Աստծո և այն հոգևոր համայնքի հետ, որը Նա հրավիրում է ձեզ:|Բացահայտելով հոգևոր համայնքը|Հոգևոր համայնքի բացահայտումը ձեզ տանում է ճանապարհորդության պատմության մեջ՝ բացահայտելով, թե ինչպես են մարդիկ կապվել Աստծո հետ հենց սկզբից՝ մարտահրավերների, հարցերի և կյանքը փոխող պահերի միջոցով: Եթե ​​ձեզ հետաքրքրում է հավատքը, նպատակը և ինչ է նշանակում պատկանել, այս շարքը սկսելու հիանալի վայր է:|Հավաքեք ձեր ընկերներին և կարդացեք, թե ինչպես Աստված պատրաստեց մարդկանց Հիսուսի և նրա ստեղծած հոգևոր համայնքի համար:|Ընտրեք ձեր նախընտրած լեզուն՝ սեղմելով վերևում գտնվող աշխարհի գլոբուսը:|Կյանքի հարցեր|Life Issues-ն ուսումնասիրում է Հիսուսի և նրա վաղ հետևորդների գործնական ուսմունքները՝ իմաստություն, որը փոխել է կյանքը դարեր շարունակ: Շատերը փոխակերպումներ են ապրել՝ հրավիրելով Հիսուսին՝ օգնելու իրենց ապրել այս ճշմարտությունները: Կարո՞ղ է սա ճիշտ լինել նաև ձեզ համար:|Հավաքեք ձեր ընկերներին և տեսեք, թե ինչ եք հայտնաբերում, երբ քննարկում եք հետևյալ հարցերը:|Հավաքեք ձեր ընկերներին և տեսեք, թե ինչ եք հայտնաբերում, երբ քննարկում եք հետևյալ հարցերը:|Ընտրեք ձեր նախընտրած լեզուն՝ սեղմելով վերևում գտնվող աշխարհի գլոբուսը:|Հիսուսի կյանքը|Հիսուսի խոսքերն ու գործողությունները կերտել են պատմությունը՝ առաջարկելով առանձնահատուկ իմաստություն: Այս տեսանյութը դիտելիս ինքներդ ձեզ հարց տվեք. Ի՞նչ սովորեցրեց Հիսուսը։ Ինչպե՞ս է նրա իմաստությունը համեմատվում ուրիշների ասածների հետ, և ի՞նչ կարող է դա նշանակել ձեզ համար:|Այս տեսանյութը հասանելի է բազմաթիվ լեզուներով։ Լեզուն փոխելու համար սեղմեք վերևում գտնվող գլոբուսը:|Առաջնորդության բացահայտում|Առաջնորդության բացահայտումը ուսումնասիրում է այն սկզբունքները, որոնք Հիսուսն ուսուցանել է իր ղեկավարներին. իմաստություն, որը ձևավորել է ծառայասեր ղեկավարությունը սերունդների համար: Շատերը փոխակերպումներ են ապրել՝ ապավինելով Հիսուսին, որպեսզի օգնի իրենց առաջնորդել նպատակասլաց և անարատությամբ: Սա կարո՞ղ է ձևավորել նաև ձեր ղեկավարությունը:|Հավաքեք ձեր ընկերներին և տեսեք, թե ինչ եք հայտնաբերում, երբ քննարկում եք հետևյալ հարցերը:|Ընտրեք ձեր նախընտրած լեզուն՝ սեղմելով վերևում գտնվող աշխարհի գլոբուսը:
|aze00|az|Sonrakı|Növbəti Video|Əvvəlki|seçin|Video Seqmenti|Dil seçin|Mənəvi inkişaf tək səyahət deyil - bu, cəmiyyətdə olur. Hamımızın etibar edə biləcəyimiz müdrikliyə və bizi bu yolda ruhlandıran insanlara ehtiyacı var. Aşağıdakı dərslər sizə Allahın müdrikliyinin həyatı necə formalaşdırdığını, həqiqi münasibətlər qurduğunu və Onun sizə olan sevgisini və qayğısını aşkara çıxarmağa kömək edəcək.|Dostlarınızı toplayın və kəşf etməyə başlayın! Səyahətinizə başlamaq üçün aşağıdakı şəkillərə klikləyin - təkcə müdrikliyi deyil, həm də Allahla və Onun sizi dəvət etdiyi ruhani cəmiyyətlə əlaqəni kəşf edin.|Ruhani Birliyi Kəşf Etmək|Mənəvi İcmanın Kəşf edilməsi sizi tarix boyu səyahətə çıxarır, insanların əvvəldən çətinliklər, suallar və həyatı dəyişən məqamlar vasitəsilə Allahla necə əlaqə saxladığını araşdırır. Əgər iman, məqsəd və aid olmağın nə demək olduğu ilə maraqlanırsınızsa, bu seriya başlamaq üçün əla yerdir.|Dostlarınızı toplayın və Allahın insanları İsanın gəlişi və onun yaratdığı ruhani icma üçün necə hazırladığını oxuyun.|Yuxarıdakı dünya qlobusuna klikləməklə sevimli dilinizi seçin.|Həyat Məsələləri|Həyat Məsələləri İsanın və onun ilk davamçılarının praktiki təlimlərini - əsrlər boyu həyatı dəyişdirən müdrikliyi araşdırır. Çoxları İsanı bu həqiqətləri həyata keçirməyə kömək etməyə dəvət edərək, dəyişikliyə məruz qaldılar. Bu sizin üçün də doğru ola bilərmi?|Dostlarınızı toplayın və aşağıdakı sualları müzakirə edərkən nə kəşf etdiyinizə baxın.|Dostlarınızı toplayın və aşağıdakı sualları müzakirə edərkən nə kəşf etdiyinizə baxın.|Yuxarıdakı dünya qlobusuna klikləməklə sevimli dilinizi seçin.|İsanın Həyatı|İsanın sözləri və hərəkətləri tarixi formalaşdıraraq, fərqli bir hikmət təqdim edir. Bu videoya baxarkən özünüzdən soruşun: İsa nəyi öyrətdi? Onun müdrikliyi başqalarının söylədikləri ilə necə müqayisə olunur və bu sizin üçün nə demək olar?|Bu video bir çox dillərdə mövcuddur. Dili dəyişmək üçün yuxarıdakı dünya qlobusuna klikləyin.|Liderliyin kəşfi|Liderliyi kəşf etmək İsanın öz liderlərinə öyrətdiyi prinsipləri - nəsillər üçün xidmətçi ürəkli liderliyi formalaşdıran müdrikliyi araşdırır. Çoxları məqsəd və dürüstlüklə rəhbərlik etməkdə kömək etmək üçün İsaya güvənərək dəyişikliyi yaşadılar. Bu, sizin liderliyinizi də formalaşdıra bilərmi?|Dostlarınızı toplayın və aşağıdakı sualları müzakirə edərkən nə kəşf etdiyinizə baxın.|Yuxarıdakı dünya qlobusuna klikləməklə sevimli dilinizi seçin.
Assamese||as||||||||||||||||||||||||
Aymara||ay||||||||||||||||||||||||
