Json|language_hl|language_google|next|previous|read|read_twice|read_more|read_or_watch|summary|teaching|video_segment|watch_online
English|eng00|en|Next|Previous|Read {{XXX}}|Read {{XXX}} two times as others listen.|Read More|Read or watch {{XXX}} two times as everyone listens|Summary|Teaching|Video Segment|Watch {{XXX}} online
Afrikaans|afk00|af|Volgende|Vorige|Lees {{XXX}}|Lees {{XXX}} twee keer terwyl ander luister.|Lees meer|Lees of kyk {{XXX}} twee keer terwyl almal luister|Opsomming|Onderrig|Video segment|Kyk {{XXX}} aanlyn
Albanian|aln00|sq|Tjetra|E mëparshme|Lexo {{XXX}}|Lexojeni {{XXX}} dy herë ndërsa të tjerët dëgjojnë.|Lexo më shumë|Lexo ose shiko {{XXX}} dy herë ndërsa të gjithë dëgjojnë|Përmbledhje|Mësimdhënia|Segmenti i videos|Shikoni {{XXX}} në internet
Amharic||am|ቀጥሎ|ቀዳሚ|{{XXX}}ን አንብብ|ሌሎች ሲያዳምጡ {{XXX}}ን ሁለት ጊዜ ያንብቡ።|ተጨማሪ ያንብቡ|ሁሉም ሰው ሲያዳምጥ {{XXX}}ን ሁለት ጊዜ ያንብቡ ወይም ይመልከቱ|ማጠቃለያ|ማስተማር|የቪዲዮ ክፍል|{{XXX}}ን በመስመር ላይ ይመልከቱ
Arabic|arq00|ar|التالي|سابق|قراءة {{XXX}}|اقرأ {{XXX}} مرتين بينما يستمع الآخرون.|اقرأ المزيد|اقرأ أو شاهد {{XXX}} مرتين بينما يستمع الجميع|ملخص|تدريس|مقطع الفيديو|مشاهدة {{XXX}} عبر الإنترنت
Armenian|arm00|hy|Հաջորդը|Նախորդ|Կարդալ {{XXX}}|Կարդացեք {{XXX}}-ը երկու անգամ, երբ մյուսները լսում են:|Կարդալ ավելին|Կարդացեք կամ դիտեք {{XXX}} երկու անգամ, երբ բոլորը լսում են|Ամփոփում|Ուսուցում|Տեսանյութի հատված|Դիտեք {{XXX}}-ը առցանց
|aze00|az|Sonrakı|Əvvəlki|{{XXX}} oxuyun|Başqaları dinlədikcə {{XXX}} yazısını iki dəfə oxuyun.|Ətraflı Oxu|{{XXX}} hər kəs dinlədiyi üçün iki dəfə oxuyun və ya baxın|Xülasə|Tədris|Video Seqmenti|{{XXX}} filminə onlayn baxın
Assamese||as|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Aymara||ay|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Azerbaijani||az|Sonrakı|Əvvəlki|{{XXX}} oxuyun|Başqaları dinlədikcə {{XXX}} yazısını iki dəfə oxuyun.|Ətraflı Oxu|{{XXX}} hər kəs dinlədiyi üçün iki dəfə oxuyun və ya baxın|Xülasə|Tədris|Video Seqmenti|{{XXX}} filminə onlayn baxın
Bambara||bm|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Basque|bas29|eu|Hurrengoa|Aurrekoa|Irakurri {{XXX}}|Irakurri {{XXX}} bi aldiz besteek entzuten duten bitartean.|Gehiago irakurri|Irakurri edo ikusi {{XXX}} bi aldiz denek entzuten duten bitartean|Laburpena|Irakaskuntza|Bideo-segmentua|Ikusi {{XXX}} sarean
Belarusian|ruw00|be|Далей|Папярэдні|Чытаць {{XXX}}|Прачытайце {{XXX}} два разы, пакуль іншыя слухаюць.|Больш падрабязна|Прачытайце або паглядзіце {{XXX}} два разы, пакуль усе слухаюць|Рэзюмэ|Навучанне|Відэа сегмент|Глядзіце {{XXX}} онлайн
Bengali|bng00|bn|পরবর্তী|আগের|পড়ুন {{XXX}}|অন্যরা শোনার মতো দুবার {{XXX}} পড়ুন৷|আরও পড়ুন|সবাই শুনলে {{XXX}} দুইবার পড়ুন বা দেখুন|সারাংশ|শিক্ষাদান|ভিডিও সেগমেন্ট|অনলাইনে {{XXX}} দেখুন৷
Bhojpuri|bwf00|bs|Dalje|Prethodno|Pročitajte {{XXX}}|Pročitajte {{XXX}} dva puta dok drugi slušaju.|Pročitajte više|Pročitajte ili gledajte {{XXX}} dva puta dok svi slušaju|Rezime|Nastava|Video segment|Gledajte {{XXX}} na mreži
Bulgarian|blg00|bg|Следваща|Предишен|Прочетете {{XXX}}|Прочетете {{XXX}} два пъти, докато другите слушат.|Прочетете повече|Прочетете или гледайте {{XXX}} два пъти, докато всички слушат|Резюме|Преподаване|Видео сегмент|Гледайте {{XXX}} онлайн
Catalan|cat24|ca|A continuació|Anterior|Llegeix {{XXX}}|Llegeix {{XXX}} dues vegades mentre els altres escolten.|Llegeix més|Llegeix o mira {{XXX}} dues vegades mentre tothom l'escolta|Resum|Ensenyament|Segment de vídeo|Mira {{XXX}} en línia
Cebuano|ceb00|ceb|Sunod|Kaniadto|Basaha ang {{XXX}}|Basaha ang {{XXX}} kaduha samtang ang uban naminaw.|Basaha ang Dugang|Basaha o tan-awa ang {{XXX}} kaduha samtang naminaw ang tanan|Summary|Pagtudlo|Segment sa Video|Tan-awa ang {{XXX}} online
Chinese (Simplified)|chn-s|zh-CN|下一个|以前的|阅读{{XXX}}|当其他人听时，读 {{XXX}} 两遍。|阅读更多|在每个人都听的情况下阅读或观看 {{XXX}} 两遍|概括|教学|视频片段|在线观看{{XXX}}
Chinese (Traditional)|chn-t|zh-TW|下一個|以前的|閱讀{{XXX}}|當其他人聽時，讀 {{XXX}} 兩次。|閱讀更多|在每個人都聽的情況下閱讀或觀看 {{XXX}} 兩次|概括|教學|影片片段|在線觀看{{XXX}}
Corsican||co|Dopu|Previous|Leghjite {{XXX}}|Leghjite {{XXX}} duie volte cum'è l'altri sentenu.|Leghjite più|Leghjite o fighjate {{XXX}} duie volte mentre tutti ascoltanu|Riassuntu|Insignamentu|Segmentu Video|Fighjate {{XXX}} in ligna
Croatian|hrv00|hr|Sljedeći|Prethodno|Pročitaj {{XXX}}|Pročitaj {{XXX}} dva puta dok drugi slušaju.|Pročitajte više|Pročitajte ili pogledajte {{XXX}} dva puta dok svi slušaju|Sažetak|Nastava|Video segment|Gledajte {{XXX}} online
Czech|czc00|cs|Další|Předchozí|Přečíst {{XXX}}|Přečtěte si {{XXX}} dvakrát, zatímco ostatní poslouchají.|Přečtěte si více|Přečtěte si nebo sledujte {{XXX}} dvakrát, zatímco všichni poslouchají|Shrnutí|Výuka|Video segment|Sledujte {{XXX}} online
Danish|dan99|da|Næste|Tidligere|Læs {{XXX}}|Læs {{XXX}} to gange, mens andre lytter.|Læs mere|Læs eller se {{XXX}} to gange, mens alle lytter|Oversigt|Undervisning|Videosegment|Se {{XXX}} online
Dhivehi||dv|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Dogri||doi|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Dutch|dut99|nl|Volgende|Vorig|Lees {{XXX}}|Lees {{XXX}} twee keer terwijl anderen luisteren.|Lees meer|Lees of bekijk {{XXX}} twee keer terwijl iedereen luistert|Samenvatting|Onderwijs|Videosegment|Bekijk {{XXX}} online
Esperanto|epo19|eo|Poste|Antaŭa|Legu {{XXX}}|Legu {{XXX}} dufoje kiel aliaj aŭskultas.|Legu Pli|Legu aŭ spektu {{XXX}} dufoje dum ĉiuj aŭskultas|Resumo|Instruado|Video Segmento|Spektu {{XXX}} interrete
Estonian|est00|et|Edasi|Eelmine|Lugege {{XXX}}|Lugege {{XXX}} kaks korda, kui teised kuulavad.|Loe edasi|Lugege või vaadake {{XXX}} kaks korda, kui kõik kuulavad|Kokkuvõte|Õpetamine|Video segment|Vaadake filmi {{XXX}} võrgus
Ewe||ee|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Filipino (Tagalog)|tagl00|fil|Susunod|Nakaraang|Basahin ang {{XXX}}|Basahin ang {{XXX}} dalawang beses habang nakikinig ang iba.|Magbasa pa|Basahin o panoorin ang {{XXX}} dalawang beses habang nakikinig ang lahat|Buod|Pagtuturo|Segment ng Video|Manood ng {{XXX}} online
Finnish|fin00|fi|Seuraavaksi|Edellinen|Lue {{XXX}}|Lue {{XXX}} kaksi kertaa, kun muut kuuntelevat.|Lue lisää|Lue tai katso {{XXX}} kaksi kertaa, kun kaikki kuuntelevat|Yhteenveto|Opetus|Video-osio|Katso {{XXX}} verkossa
French|frn00|fr|Suivant|Précédent|Lire {{XXX}}|Lisez {{XXX}} deux fois pendant que les autres écoutent.|En savoir plus|Lisez ou regardez {{XXX}} deux fois pendant que tout le monde écoute|Résumé|Enseignement|Segment vidéo|Regarder {{XXX}} en ligne
Frisian|fri29|fy|Folgjende|Foarige|Lês {{XXX}}|Lês {{XXX}} twa kear as oaren harkje.|Lês mear|Lês of sjoch {{XXX}} twa kear as elkenien harket|Gearfetting|Teaching|Video Segment|Sjoch {{XXX}} online
Galician|gln00|gl|A continuación|Anterior|Ler {{XXX}}|Le {{XXX}} dúas veces mentres outros escoitan.|Ler máis|Le ou mira {{XXX}} dúas veces mentres todos escoitan|Resumo|Ensino|Segmento de vídeo|Mira {{XXX}} en liña
Georgian|geo00|ka|შემდეგი|წინა|წაიკითხეთ {{XXX}}|წაიკითხეთ {{XXX}} ორჯერ, როცა სხვები უსმენენ.|დაწვრილებით|წაიკითხეთ ან უყურეთ {{XXX}} ორჯერ, როდესაც ყველა უსმენს|რეზიუმე|სწავლება|ვიდეო სეგმენტი|უყურეთ {{XXX}} ონლაინ რეჟიმში
German|ger00|de|Nächste|Vorherige|Lesen Sie {{XXX}}|Lesen Sie {{XXX}} zweimal, während andere zuhören.|Mehr lesen|Lesen oder schauen Sie sich {{XXX}} zweimal an, während alle zuhören|Zusammenfassung|Lehre|Videosegment|Sehen Sie sich {{XXX}} online an
Greek|grk00|el|Επόμενος|Προηγούμενος|Διαβάστε {{XXX}}|Διαβάστε το {{XXX}} δύο φορές καθώς ακούνε άλλοι.|Διαβάστε περισσότερα|Διαβάστε ή παρακολουθήστε το {{XXX}} δύο φορές καθώς όλοι ακούν|Περίληψη|Διδασκαλία|Τμήμα βίντεο|Παρακολουθήστε το {{XXX}} στο διαδίκτυο
Guarani||gn|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Gujarati|gjr00|gu|આગળ|ગત|{{XXX}} વાંચો|અન્ય લોકો સાંભળે છે તેમ {{XXX}} બે વાર વાંચો.|વધુ વાંચો|દરેક વ્યક્તિ સાંભળે છે તેમ {{XXX}} બે વાર વાંચો અથવા જુઓ|સારાંશ|અધ્યાપન|વિડિઓ સેગમેન્ટ|{{XXX}} ઑનલાઇન જુઓ
Haitian Creole|hat00|ht|Next|Previous|Li {{XXX}}|Li {{XXX}} de fwa pandan lòt moun ap koute.|Li plis|Li oswa gade {{XXX}} de fwa pandan tout moun ap koute|Rezime|Ansèyman|Segman videyo|Gade {{XXX}} sou entènèt
Hausa|hua00|ha|Na gaba|A baya|Karanta {{XXX}}|Karanta {{XXX}} sau biyu yayin da wasu ke sauraro.|Kara karantawa|Karanta ko kalli {{XXX}} sau biyu yayin da kowa ke sauraro|Takaitawa|Koyarwa|Bangaren Bidiyo|Kalli {{XXX} akan layi
Hawaiian|haw98|haw|Aʻe|Mamua|Heluhelu {{XXX}}|Heluhelu {{XXX}} ʻelua manawa i ka wā e hoʻolohe ai kekahi.|Heluhelu hou aku|Heluhelu a nānā paha iā {{XXX}} ʻelua manawa ke hoʻolohe nā kānaka a pau|Hōʻuluʻulu manaʻo|Ke ao ana|Māhele wikiō|E nānā iā {{XXX}} ma ka pūnaewele
Hebrew|hbr00|he|הַבָּא|קוֹדֵם|קרא את {{XXX}}|קרא את {{XXX}} פעמיים בזמן שאחרים מאזינים.|קרא עוד|קרא או צפה ב-{{XXX}} פעמיים כשכולם מאזינים|תַקצִיר|הוֹרָאָה|פלח וידאו|צפה ב-{{XXX}} באינטרנט
Hindi|hnd00|hi|अगला|पहले का|पढ़ें {{XXX}}|जब दूसरे सुन रहे हों तो {{XXX}} दो बार पढ़ें।|और पढ़ें|जैसे ही सभी लोग सुनते हैं, {{XXX}} को दो बार पढ़ें या देखें|सारांश|शिक्षण|वीडियो खंड|{{XXX}} ऑनलाइन देखें
Hmong|mww01|hmn|Tom ntej no|Yav dhau los|Nyeem {{XXX}}|Nyeem {{XXX}} ob zaug thaum lwm tus mloog.|Nyeem ntxiv|Nyeem lossis saib {{XXX}} ob zaug raws li txhua tus mloog|Cov ntsiab lus|Kev qhia|Video Ntu|Saib {{XXX}} online
Hungarian|hng00|hu|Következő|Előző|Olvassa el a következőt: {{XXX}}|Olvasd el kétszer a(z) {{XXX}}-t, miközben mások hallgatják.|Olvasson tovább|Olvassa el vagy nézze meg a(z) {{XXX}} filmet kétszer, ahogy mindenki hallgatja|Összegzés|Tanítás|Videó szegmens|Nézze meg a(z) {{XXX}} filmet online
Icelandic|Ice99|is|Næst|Fyrri|Lesa {{XXX}}|Lestu {{XXX}} tvisvar á meðan aðrir hlusta.|Lesa meira|Lestu eða horfðu á {{XXX}} tvisvar þegar allir hlusta|Samantekt|Kennsla|Vídeóhluti|Horfðu á {{XXX}} á netinu
Igbo||ig|Osote|Nke gara aga|Gụọ {{XXX}}|Gụọ {{XXX}} ugboro abụọ ka ndị ọzọ na-ege ntị.|GỤKWUO|Gụọ ma ọ bụ lelee {{XXX}} ugboro abụọ ka onye ọ bụla na-ege ntị|Nchịkọta|Nkuzi|Akụkụ vidiyo|Lelee {{XXX}} n'ịntanetị
Ilocano||ilo|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Indonesian|inz00|id|Berikutnya|Sebelumnya|Baca {{XXX}}|Bacalah {{XXX}} dua kali sementara yang lain mendengarkan.|Baca selengkapnya|Baca atau tonton {{XXX}} dua kali saat semua orang mendengarkan|Ringkasan|Pengajaran|Segmen Video|Tonton {{XXX}} daring
Irish|Iri99|ga|Ar aghaidh|Roimhe Seo|Léigh {{XXX}}|Léigh {{XXX}} dhá uair agus daoine eile ag éisteacht.|Léigh Tuilleadh|Léigh nó féach ar {{XXX}} dhá uair agus gach duine ag éisteacht|Achoimre|Teagasc|Deighleog Físe|Féach ar {{XXX}} ar líne
Italian|itn00|it|Prossimo|Precedente|Leggi {{XXX}}|Leggi {{XXX}} due volte mentre gli altri ascoltano.|Per saperne di più|Leggi o guarda {{XXX}} due volte mentre tutti ascoltano|Riepilogo|Insegnamento|Segmento video|Guarda {{XXX}} online
Japanese|jpn00|ja|次|前の|{{XXX}}を読む|他の人が聞いている間、{{XXX}} を 2 回読み上げます。|続きを読む|全員が聞きながら {{XXX}} を 2 回読むか視聴します|まとめ|教える|ビデオセグメント|{{XXX}}をオンラインで見る
Javanese|Jan-00|jv|Sabanjure|Sadurunge|Waca {{XXX}}|Waca {{XXX}} kaping pindho nalika wong liya ngrungokake.|Waca liyane|Waca utawa tonton {{XXX}} kaping pindho saben wong ngrungokake|Ringkesan|wulangan|Segmen Video|Nonton {{XXX}} online
Kannada|kjv00|kn|ಮುಂದೆ|ಹಿಂದಿನ|{{XXX}} ಓದಿ|ಇತರರು ಕೇಳುವಂತೆ {{XXX}} ಅನ್ನು ಎರಡು ಬಾರಿ ಓದಿ.|ಮುಂದೆ ಓದಿ|ಎಲ್ಲರೂ ಕೇಳುವಂತೆ {{XXX}} ಅನ್ನು ಎರಡು ಬಾರಿ ಓದಿ ಅಥವಾ ವೀಕ್ಷಿಸಿ|ಸಾರಾಂಶ|ಬೋಧನೆ|ವೀಡಿಯೊ ವಿಭಾಗ|ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ {{XXX}} ವೀಕ್ಷಿಸಿ
Kazakh|kaz99|kk|Келесі|Алдыңғы|{{XXX}} оқу|Басқалар тыңдаған кезде {{XXX}} дегенді екі рет оқыңыз.|Толығырақ оқу|{{XXX}} әркім тыңдаған кезде екі рет оқыңыз немесе көріңіз|Түйіндеме|Оқыту|Бейне сегменті|{{XXX}} онлайн көру
Khmer|kmr00|km|បន្ទាប់|មុន|អាន {{XXX}}|អាន {{XXX}} ពីរដងដូចអ្នកផ្សេងទៀតស្តាប់។|អានបន្ថែម|អាន ឬមើល {{XXX}} ពីរដងដូចដែលអ្នកគ្រប់គ្នាស្តាប់|សង្ខេប|ការបង្រៀន|ផ្នែកវីដេអូ|មើល {{XXX}} តាមអ៊ីនធឺណិត
Kinyarwanda|rua00|rw|Ibikurikira|Mbere|Soma {{XXX}}|Soma {{XXX}} inshuro ebyiri nkuko abandi bumva.|Soma Ibikurikira|Soma cyangwa urebe {{XXX}} inshuro ebyiri abantu bose bumva|Incamake|Kwigisha|Igice cya Video|Reba {{XXX}} kumurongo
Konkani|gom00|gom|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Korean|kkn00|ko|다음|이전의|{{XXX}} 읽기|다른 사람들이 듣는 동안 {{XXX}}을 두 번 읽으세요.|자세히 알아보기|모두가 듣는 동안 {{XXX}}을 두 번 읽거나 시청하세요|요약|가르침|비디오 세그먼트|온라인으로 {{XXX}} 시청하기
Krio||kri|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Kurdish|kur19|ku|Piştî|Pêşî|Bixwîne {{XXX}}|Dema ku yên din guhdarî dikin du caran {{XXX}} bixwînin.|Read More|Dema ku her kes guhdarî dike du caran {{XXX}} bixwîne an temaşe bike|Berhevkirinî|Teaching|Beşa Vîdyoyê|{{XXX}} serhêl temaşe bikin
Kurdish (Sorani)|kur00|ckb|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Kyrgyz|kyr99|ky|Кийинки|Мурунку|{{XXX}} окуу|Башкалар угуп жатканда {{XXX}} дегенди эки жолу окуңуз.|Кененирээк окуу|{{XXX}} дегенди эки жолу окуңуз же көрүңүз, баары угат|Жыйынтык|окутуу|Видео сегмент|{{XXX}} онлайн көрүңүз
Lao|nol00|lo|ຕໍ່ໄປ|ທີ່ຜ່ານມາ|ອ່ານ {{XXX}}|ອ່ານ {{XXX}} ສອງເທື່ອໃນຂະນະທີ່ຄົນອື່ນຟັງ.|ອ່ານເພີ່ມເຕີມ|ອ່ານ ຫຼືເບິ່ງ {{XXX}} ສອງເທື່ອທີ່ທຸກຄົນຟັງ|ສະຫຼຸບ|ການສອນ|ພາກສ່ວນວິດີໂອ|ເບິ່ງ {{XXX}} ອອນລາຍ
Latin|lat777|la|Proximum|Antecedens|Lege {{XXX}}|Lege {XXX}} duo tempora ut alii auscultant.|Read More|Lege vel vigila {XXX}} bis ut quisque audit|Summarium|Doctrina|Vide Segmentum|Vigilate {{XXX}} online
Latvian|lat00|lv|Tālāk|Iepriekšējais|Lasīt {{XXX}}|Izlasiet {{XXX}} divas reizes, kamēr citi klausās.|Lasīt vairāk|Lasiet vai skatieties {{XXX}} divas reizes, kamēr visi klausās|Kopsavilkums|Mācīšana|Video segments|Skatieties {{XXX}} tiešsaistē
Lingala||ln|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
