language.EnglishName|language.hlCode|language.google|look_back.title|look_up.title|look_forward.title|look_back.question.1|look_back.question.2|look_back.question.3|look_back.question.4|look_back.question.5|look_up.question.1|look_up.question.2|look_up.question.3|look_up.question.4|look_up.question.5|look_up.question.6|look_forward.question.1|look_forward.question.2|look_forward.question.3|look_forward.question.4|promo.discovery_bible_study|promo.discuss_with_friends|promo.invite_to_discover|promo.discussion_starter||promo.individual_discovery|promo.group_discovery|select_passage|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23
English|eng00|en|Look Back|Look Up|Look Forward|What are you thankful for this week?|What are you struggling with and how can we help?|How did you put into practice the scripture/story we studied last time we met?|Who did you share last week's lesson with and how did it go?|What needs did you meet in the community last week?|Ask someone to read the passage one paragraph at a time.|Have a group member tell it in their own words.|Ask the group if they added anything or left anything out.|When you finish with ALL paragraphs, ask someone in the group to tell the WHOLE story by memory. Have the group correct any errors.|What does this passage tell us about God or Jesus?|What does this passage tell us about people?|If this passage is true, what behaviour should we change this week?|Who will you tell this story to this week?|What needs can we meet in the community this week?|When do you want to meet again?|Discovery Bible Study|Discus with Friends|Would you like to discover with your friends what God is like and how God want you to live?|Here are some questions to get your discussion started.||Would you like to discover for yourself what God is like and how God want you to live?|Most people like to make these discoveries in a group with their friends.|Select Passage|The Beginning|The Garden|The Choice|Abraham|10 Commandments|Offerings for Sin|Suffering Servant|Birth of Jesus|Baptism of Jesus|Nicodemus|Samaritan Woman|Paralyzed Man|The Storm|A Demon-Possessed Man|Lazarus|The Word|Arrested|Jesus' Trial|Crucified|Resurrection|Taken Up|Responces|Community
Afrikaans|afk00|af|Kyk Terug|Kyk op|Kyk vorentoe|Waarvoor is jy hierdie week dankbaar?|Waarmee sukkel jy en hoe kan ons help?|Hoe het jy die skrif/verhaal wat ons laas ons ontmoet het, in die praktyk toegepas?|Met wie het jy verlede week se les gedeel en hoe het dit gegaan?|In watter behoeftes het jy verlede week in die gemeenskap voorsien?|Vra iemand om die gedeelte een paragraaf op 'n slag te lees.|Laat 'n groeplid dit in hul eie woorde vertel.|Vra die groep of hulle iets bygevoeg het of iets uitgelaat het.|Wanneer jy klaar is met ALLE paragrawe, vra iemand in die groep om die HELE storie deur geheue te vertel. Laat die groep enige foute regstel.|Wat sê hierdie gedeelte vir ons oor God of Jesus?|Wat sê hierdie gedeelte vir ons oor mense?|As hierdie gedeelte waar is, watter gedrag moet ons hierdie week verander?|Vir wie sal jy hierdie week hierdie storie vertel?|In watter behoeftes kan ons hierdie week in die gemeenskap voorsien?|Wanneer wil julle weer ontmoet?|Discovery Bybelstudie|Bespreek met vriende|Wil jy saam met jou vriende ontdek hoe God is en hoe God wil hê jy moet lewe?|Hier is 'n paar vrae om jou bespreking aan die gang te kry.||Wil jy self ontdek hoe God is en hoe God wil hê jy moet lewe?|Die meeste mense hou daarvan om hierdie ontdekkings in 'n groep saam met hul vriende te maak.|Kies Passage|Die Begin|Die Tuin|Die Keuse|Abraham|10 Gebooie|Offergawes vir sonde|Lydende Dienaar|Geboorte van Jesus|Doop van Jesus|Nikodemus|Samaritaanse vrou|Verlamde man|Die Storm|’n Demoonbesete man|Lasarus|Die Woord|Gearresteer|Jesus se verhoor|Gekruisig|Opstanding|Opgeneem|Reaksies|Gemeenskap
Albanian|aln00|sq|Shiko prapa|Shikoni lart|Shikoni përpara|Për çfarë jeni mirënjohës këtë javë?|Me çfarë po luftoni dhe si mund t'ju ndihmojmë?|Si e keni vënë në praktikë shkrimin/historinë që studiuam herën e fundit që u takuam?|Me kë e ndatë mësimin e javës së kaluar dhe si shkoi?|Çfarë nevojash plotësuat në komunitet javën e kaluar?|Kërkojini dikujt të lexojë fragmentin një paragraf në të njëjtën kohë.|Vëreni një anëtar të grupit ta tregojë me fjalët e veta.|Pyetni grupin nëse kanë shtuar ndonjë gjë apo kanë lënë ndonjë gjë jashtë.|Kur të përfundoni me TË GJITHË paragrafët, kërkoni dikë në grup të tregojë TË GJITHË historinë me kujtesë. Lëreni grupin të korrigjojë çdo gabim.|Çfarë na thotë ky pasazh për Perëndinë ose Jezusin?|Çfarë na tregon ky pasazh për njerëzit?|Nëse ky pasazh është i vërtetë, çfarë sjelljeje duhet të ndryshojmë këtë javë?|Kujt do t'ia tregoni këtë histori këtë javë?|Çfarë nevojash mund të plotësojmë në komunitet këtë javë?|Kur dëshironi të takohemi përsëri?|Studimi i Biblës Zbulimi|Diskutoni me miqtë|Dëshironi të zbuloni me miqtë tuaj se si është Zoti dhe si dëshiron Perëndia që të jetoni?|Këtu janë disa pyetje për të filluar diskutimin tuaj.||Dëshironi të zbuloni vetë se si është Zoti dhe si dëshiron Zoti që të jetoni?|Shumica e njerëzve pëlqejnë t'i bëjnë këto zbulime në një grup me miqtë e tyre.|Zgjidhni Pasazh|Fillimi|Kopshti|Zgjedhja|Abrahami|10 Urdhërimet|Oferta për mëkatin|Shërbëtor i vuajtur|Lindja e Jezusit|Pagëzimi i Jezusit|Nikodemi|Gruaja samaritane|Njeri i paralizuar|Stuhia|Njeri i pushtuar nga demonët|Llazari|Fjala|I arrestuar|Gjyqi i Jezusit|I kryqëzuar|Ringjallja|Marrë lart|Përgjigjet|Komuniteti
Amharic||am|ወደ ኋላ ተመልከት|ወደ ላይ ይመልከቱ|ወደፊት መመልከት|በዚህ ሳምንት ምን አመሰግናለሁ?|በምን እየታገልክ ነው እና እንዴት መርዳት እንችላለን?|ባለፈው ስንገናኝ ያጠናነውን መፅሃፍ/ታሪክ እንዴት ተግባራዊ አደረግከው?|ያለፈውን ሳምንት ትምህርት ከማን ጋር አካፍለዋል እና እንዴት ሄደ?|ባለፈው ሳምንት በማህበረሰቡ ውስጥ ምን ፍላጎቶች አሟልተዋል?|አንድ ሰው አንቀጹን አንድ አንቀጽ እንዲያነብ ጠይቅ።|አንድ የቡድን አባል በራሳቸው ቃላት እንዲናገሩ ያድርጉ።|ምንም ነገር እንዳከሉ ወይም የሆነ ነገር ትተው እንደሆነ ቡድኑን ይጠይቁ።|በሁሉም አንቀጾች ሲጨርሱ በቡድኑ ውስጥ ያለ አንድ ሰው ሙሉውን ታሪክ በማስታወስ እንዲናገር ይጠይቁት። ቡድኑ ማንኛውንም ስህተቶች እንዲያስተካክል ያድርጉ።|ይህ ክፍል ስለ እግዚአብሔር ወይም ስለ ኢየሱስ ምን ይነግረናል?|ይህ ክፍል ስለ ሰዎች ምን ይነግረናል?|ይህ ምንባብ እውነት ከሆነ በዚህ ሳምንት ምን አይነት ባህሪ መቀየር አለብን?|ይህን ታሪክ ለማን በዚህ ሳምንት ትናገራለህ?|በዚህ ሳምንት በማህበረሰብ ውስጥ ምን ፍላጎቶችን ማሟላት እንችላለን?|መቼ እንደገና መገናኘት ይፈልጋሉ?|የግኝት የመጽሐፍ ቅዱስ ጥናት|ከጓደኞች ጋር ይወያዩ|ከጓደኞችህ ጋር እግዚአብሔር ምን እንደሚመስል እና እግዚአብሔር እንድትኖር እንዴት እንደሚፈልግ ማወቅ ትፈልጋለህ?|ውይይትዎን ለመጀመር አንዳንድ ጥያቄዎች እዚህ አሉ።||እግዚአብሔር ምን እንደሚመስል እና እግዚአብሔር እንዴት እንድትኖር እንደሚፈልግ ለራስህ ማወቅ ትፈልጋለህ?|ብዙ ሰዎች እነዚህን ግኝቶች ከጓደኞቻቸው ጋር በቡድን ማድረግ ይወዳሉ።|ማለፊያ ይምረጡ|ጅምር|የአትክልት ቦታው|ምርጫው|አብርሃም|10 ትእዛዛት|ለኃጢአት መባ|መከራ የሚቀበል አገልጋይ|የኢየሱስ መወለድ|የኢየሱስ ጥምቀት|ኒቆዲሞስ|ሳምራዊት ሴት|ሽባ ሰው|አውሎ ነፋሱ|ጋኔን ያደረበት ሰው|አልዓዛር|ቃሉ|በቁጥጥር ስር ዋሉ።|የኢየሱስ ፈተና|የተሰቀለ|ትንሳኤ|ተወስዷል|ምላሾች|ማህበረሰብ
Arabic|arq00|ar|انظر إلى الوراء|ابحث عن|أتطلّع لذلك|ما الذي أنت شاكر له هذا الأسبوع؟|ما الذي تعاني منه وكيف يمكننا مساعدتك؟|كيف قمت بتطبيق الكتاب المقدس/القصة التي درسناها في المرة الأخيرة التي التقينا فيها؟|مع من شاركت درس الأسبوع الماضي وكيف سار الأمر؟|ما هي الاحتياجات التي قابلتها في المجتمع الأسبوع الماضي؟|اطلب من شخص ما أن يقرأ المقطع فقرة واحدة في كل مرة.|اطلب من أحد أعضاء المجموعة أن يقول ذلك بكلماته الخاصة.|اسأل المجموعة عما إذا كانوا قد أضافوا أي شيء أو تركوا أي شيء.|عند الانتهاء من جميع الفقرات، اطلب من أحد أفراد المجموعة أن يروي القصة بأكملها عن طريق الذاكرة. اطلب من المجموعة تصحيح أي أخطاء.|ماذا يخبرنا هذا المقطع عن الله أو يسوع؟|ماذا يخبرنا هذا المقطع عن الناس؟|إذا كان هذا المقطع صحيحا، ما هو السلوك الذي يجب أن نغيره هذا الأسبوع؟|لمن ستحكي هذه القصة هذا الأسبوع؟|ما هي الاحتياجات التي يمكن أن نلبيها في المجتمع هذا الأسبوع؟|متى تريد أن نلتقي مرة أخرى؟|اكتشاف دراسة الكتاب المقدس|رمي القرص مع الأصدقاء|هل ترغب في أن تكتشف مع أصدقائك ما هو الله وكيف يريدك الله أن تعيش؟|فيما يلي بعض الأسئلة لبدء مناقشتك.||هل ترغب في أن تكتشف بنفسك ما هو الله وكيف يريدك الله أن تعيش؟|يحب معظم الأشخاص القيام بهذه الاكتشافات في مجموعة مع أصدقائهم.|حدد الممر|البداية|الحديقة|الاختيار|ابراهيم|10 وصايا|عروض للخطيئة|خادم المعاناة|ولادة يسوع|معمودية يسوع|نيقوديموس|المرأة السامرية|رجل مشلول|العاصفة|رجل ممسوس بالشيطان|لعازر|الكلمة|اعتقل|محاكمة يسوع|مصلوب|القيامة|تم تناوله|الردود|مجتمع
Armenian|arm00|hy|Հետ նայիր|Նայեք Վերև|Նայեք առաջ|Ինչի՞ համար եք շնորհակալ այս շաբաթ:|Ինչի՞ հետ եք պայքարում և ինչպե՞ս կարող ենք օգնել:|Ինչպե՞ս գործի դրեցիք սուրբ գրությունը/պատմությունը, որը մենք ուսումնասիրեցինք վերջին անգամ, երբ հանդիպեցինք:|Ո՞ւմ հետ կիսվեցիք անցյալ շաբաթվա դասը և ինչպե՞ս անցավ այն:|Ի՞նչ կարիքներ եք հանդիպել համայնքում անցած շաբաթ:|Խնդրեք որևէ մեկին կարդալ հատվածը մեկ պարբերություն:|Խմբի անդամներից մեկին խնդրեք պատմել այն իր խոսքերով:|Հարցրեք խմբին՝ արդյոք նրանք որևէ բան ավելացրել են կամ բաց թողել որևէ բան:|Երբ ավարտեք ԲՈԼՈՐ պարբերություններով, խնդրեք խմբից որևէ մեկին հիշելով պատմել ՈՂՋ պատմությունը: Խնդրեք խմբին ուղղել ցանկացած սխալ:|Ի՞նչ է մեզ ասում այս հատվածը Աստծո կամ Հիսուսի մասին:|Ի՞նչ է մեզ ասում այս հատվածը մարդկանց մասին:|Եթե ​​այս հատվածը ճշմարիտ է, ի՞նչ վարքագիծ պետք է փոխենք այս շաբաթ:|Ո՞ւմ եք պատմելու այս պատմությունը այս շաբաթ:|Ի՞նչ կարիքներ կարող ենք բավարարել համայնքում այս շաբաթ:|Ե՞րբ եք ցանկանում կրկին հանդիպել:|Բացահայտում Աստվածաշնչի ուսումնասիրություն|Քննարկեք ընկերների հետ|Կցանկանա՞ք ընկերների հետ բացահայտել, թե ինչպիսին է Աստված և ինչպես է Աստված ցանկանում, որ դուք ապրեք:|Ահա մի քանի հարցեր՝ ձեր քննարկումը սկսելու համար:||Կցանկանայի՞ք ինքներդ բացահայտել, թե ինչպիսին է Աստված և ինչպես է Աստված ցանկանում, որ դուք ապրեք:|Մարդկանց մեծամասնությունը սիրում է այս բացահայտումներն անել խմբով իրենց ընկերների հետ:|Ընտրեք Անցում|Սկիզբը|Այգին|Ընտրություն|Աբրահամ|10 պատվիրաններ|Մեղքի համար ընծաներ|Տառապող ծառա|Հիսուսի ծնունդը|Հիսուսի մկրտությունը|Նիկոդեմոս|Սամարացի կին|Կաթվածահար մարդ|Փոթորիկը|Դիվահարված մարդ|Ղազարոս|Խոսքը|Ձերբակալվել է|Հիսուսի դատավարությունը|Խաչված|Հարություն|Վերցված|Պատասխաններ|Համայնք
|aze00|az|Geriyə bax|Yuxarı Baxın|İrəli Baxın|Bu həftə nəyə görə minnətdarsınız?|Nə ilə mübarizə aparırsınız və necə kömək edə bilərik?|Sonuncu görüşümüzdə öyrəndiyimiz ayəni/hekayəni necə tətbiq etdiniz?|Keçən həftəki dərsi kiminlə paylaşdınız və necə keçdi?|Keçən həftə cəmiyyətdə hansı ehtiyacları qarşıladınız?|Kimdənsə parçanı hər dəfə bir abzas oxumasını xahiş edin.|Qrup üzvündən bunu öz sözləri ilə desin.|Qrupdan bir şey əlavə edib-etmədiklərini və ya bir şey buraxdıqlarını soruşun.|BÜTÜN abzasları bitirdikdən sonra qrupdakı kimsədən BÜTÜN hekayəni yaddaşa görə danışmasını xahiş edin. Qrupdan səhvləri düzəltməsini tapşırın.|Bu parça bizə Allah və ya İsa haqqında nə deyir?|Bu parça bizə insanlar haqqında nə deyir?|Bu keçid doğrudursa, bu həftə hansı davranışı dəyişdirməliyik?|Bu həftə bu hekayəni kimə danışacaqsınız?|Bu həftə cəmiyyətdə hansı ehtiyacları qarşılaya bilərik?|Yenidən nə vaxt görüşmək istəyirsən?|Discovery Bible Study|Dostlarla müzakirə edin|Dostlarınızla Allahın necə olduğunu və Allahın sizin necə yaşamanızı istədiyini kəşf etmək istərdinizmi?|Müzakirənizə başlamaq üçün burada bəzi suallar var.||Allahın necə olduğunu və Allahın sizin necə yaşamanızı istədiyini özünüz üçün kəşf etmək istərdinizmi?|Əksər insanlar bu kəşfləri dostları ilə bir qrupda etməyi xoşlayırlar.|Keçid seçin|Başlanğıc|Bağ|Seçim|İbrahim|10 Əmr|Günah üçün təqdimlər|Əzablı Qulluqçu|İsanın doğulması|İsanın vəftiz edilməsi|Nikodim|Samariyalı Qadın|İflicli Adam|Fırtına|Cin Ehtiyatlı Adam|Lazarus|Söz|Həbs olundu|İsanın sınağı|çarmıxa çəkilmiş|Dirilmə|Alındı|Cavablar|İcma
Assamese||as||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Aymara||ay||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Azerbaijani||az||||||||||||||||||||||||||||||||||||||||||||İsanın sınağı|||||İcma
