language.title|language.hlCode|language.google|look_back.title|look_up.title|look_forward.title|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|topic.24|topic.25|look_back.question.1|look_back.question.2|look_back.question.4|look_back.question.5|look_back.question.6|look_up.instruction.1|look_up.instruction.2|look_up.instruction.3|look_up.instruction.4|look_up.instruction.5|look_up.question.1|look_up.question.2|look_up.question.3|look_forward.question.1|look_forward.question.2|look_forward.question.3|look_forward.question.4|look_forward.question.5|promo.title|promo.text.1|promo.text.2|promo.text.3|promo.text.4|create_outline|download_outline|read_more|timing|notes.lookback|notes.lookup|notes.lookforward
English|eng00|en|Look Back|Look Up|Look Forward|Leaders Call Others to Follow Christ|Leaders Teach Attitudes God Blesses|Leaders Teach Attitudes God Blesses|Leaders Seek to Please God|Leaders Serve God|Leaders Judge Righteously|Leaders Judge Righteously|Leaders Seek God|Leaders Obey God|Leaders Care for Outcasts and Sinners|Leaders Teach, Preach, and Heal|Leaders Send People Out|Leaders Prepare for Persecution|Leaders Offer Rest to the Weary|Leaders Teach About the Kingdom|Leaders Accept the Cost|Leaders Listen to Jesus|Leaders Teach About Faith|Leaders Deal with Sin|Leaders Honour Marriage|Leaders are Servants|Leaders Meet Needs Because of their Compassion|Leaders Invest Faithfully|Leaders Serve Those in Need|Leaders Teach Others to Obey|What are you thankful for this week?|What are you struggling with and how can we help?|Take time to praise God and pray for the needs.|How did you put into practice what we studied the last time we met?|Tell us about the conversations you had at the last meal in the village. Are there any people who showed interest in learning more about Jesus?|Read the title for this discussion.|Ask someone to read the passage one paragraph at a time.|Have a group member tell it in their own words.|Ask the group if they added anything or left anything out.|When you finish with ALL paragraphs, ask someone in the group to tell the WHOLE story by memory. Have the group correct any errors.|What does this passage tell us about God?|What does this passage tell us about people?|How does this passage relate to the title for this discussion?|How could we apply this Scripture: Is there a Sin to avoid, Promise to claim, Example to follow, Commandment to obey?|How can this passage help you interact with people in the village?|Who will you tell what your learned today? What will you tell them?|What needs have you observed lately? Can we meet any of them?|When do you want to meet again?|Discovering Spiritual Leadership|Leaders need to continue to grow in character and skill|How do you help your leaders develop the character and skills they need to lead a multiplying network of Discovery Bible Studies?|The questions they bring to Scripture are influenced by the needs of the groups they lead.|We are finding these topics, passages and questions effective in training our leaders.|Create Outline Now|Download Outline|Read more|(spend one third of your time on this section)|Write your notes for Look Back here|Write your notes for Look Up here|Write your notes for Look Forward here
Afrikaans|afk00|af|Kyk Terug|Kyk op|Kyk vorentoe|Leiers roep ander op om Christus te volg|Leiers leer gesindhede wat God seën|Leiers leer gesindhede wat God seën|Leiers poog om God te behaag|Leiers dien God|Leiers oordeel Regverdig|Leiers oordeel Regverdig|Leiers Soek God|Leiers gehoorsaam God|Leiers gee om vir uitgeworpenes en sondaars|Leiers leer, preek en genees|Leiers stuur mense uit|Leiers berei voor vir vervolging|Leiers bied rus aan die vermoeides|Leiers leer oor die Koninkryk|Leiers aanvaar die koste|Leiers Luister na Jesus|Leiers leer oor geloof|Leiers hanteer sonde|Leiers eer die huwelik|Leiers is dienaars|Leiers voldoen aan behoeftes vanweë hul deernis|Leiers belê getrou|Leiers dien diegene in nood|Leiers leer ander om gehoorsaam te wees|Waarvoor is jy hierdie week dankbaar?|Waarmee sukkel jy en hoe kan ons help?|Neem tyd om God te loof en vir die behoeftes te bid.|Hoe het jy dit wat ons die laaste keer wat ons ontmoet het, in die praktyk toegepas?|Vertel ons van die gesprekke wat jy by die laaste ete in die dorp gehad het. Is daar enige mense wat belangstelling getoon het om meer oor Jesus te leer?|Lees die titel vir hierdie bespreking.|Vra iemand om die gedeelte een paragraaf op 'n slag te lees.|Laat 'n groeplid dit in hul eie woorde vertel.|Vra die groep of hulle iets bygevoeg het of iets uitgelaat het.|Wanneer jy klaar is met ALLE paragrawe, vra iemand in die groep om die HELE storie deur geheue te vertel. Laat die groep enige foute regstel.|Wat sê hierdie gedeelte vir ons oor God?|Wat sê hierdie gedeelte vir ons oor mense?|Hoe hou hierdie gedeelte verband met die titel van hierdie bespreking?|Hoe kan ons hierdie Skrif toepas: Is daar 'n Sonde om te vermy, Belofte om op te eis, Voorbeeld om te volg, Gebod om te gehoorsaam?|Hoe kan hierdie gedeelte jou help om met mense in die dorp te kommunikeer?|Wie sal jy vertel wat jy vandag geleer het? Wat sal jy vir hulle sê?|Watter behoeftes het jy die afgelope tyd waargeneem? Kan ons enige van hulle ontmoet?|Wanneer wil julle weer ontmoet?|Ontdek geestelike leierskap|Leiers moet aanhou groei in karakter en vaardigheid|Hoe help jy jou leiers om die karakter en vaardighede te ontwikkel wat hulle nodig het om 'n vermenigvuldigende netwerk van Discovery Bible Studies te lei?|Die vrae wat hulle na die Skrif bring, word beïnvloed deur die behoeftes van die groepe wat hulle lei.|Ons vind hierdie onderwerpe, gedeeltes en vrae effektief in die opleiding van ons leiers.|Skep nou uiteensetting|Laai Outline af|Lees meer|(Spandeer een derde van jou tyd aan hierdie afdeling)|Skryf jou notas vir Terugkyk hier|Skryf jou notas vir Look Up hier|Skryf jou notas vir Kyk vorentoe hier
Albanian|aln00|sq|Shiko prapa|Shikoni lart|Shikoni përpara|Udhëheqësit thërrasin të tjerët të ndjekin Krishtin|Udhëheqësit mësojnë qëndrimet që Perëndia i bekon|Udhëheqësit mësojnë qëndrimet që Perëndia i bekon|Udhëheqësit kërkojnë të kënaqin Perëndinë|Udhëheqësit i shërbejnë Perëndisë|Udhëheqësit gjykojnë me drejtësi|Udhëheqësit gjykojnë me drejtësi|Udhëheqësit kërkojnë Zotin|Udhëheqësit i binden Zotit|Udhëheqësit kujdesen për të dëbuarit dhe mëkatarët|Udhëheqësit Mësojnë, Predikojnë dhe Shërojnë|Udhëheqësit dërgojnë njerëz jashtë|Udhëheqësit përgatiten për persekutim|Udhëheqësit ofrojnë pushim për të lodhurit|Udhëheqësit mësojnë për Mbretërinë|Udhëheqësit pranojnë koston|Udhëheqësit Dëgjojnë Jezusin|Udhëheqësit japin mësim rreth besimit|Udhëheqësit merren me mëkatin|Udhëheqësit nderojnë martesën|Udhëheqësit janë shërbëtorë|Udhëheqësit plotësojnë nevojat për shkak të dhembshurisë së tyre|Udhëheqësit investojnë me besnikëri|Liderët u shërbejnë atyre në nevojë|Udhëheqësit mësojnë të tjerët të binden|Për çfarë jeni mirënjohës këtë javë?|Me çfarë po luftoni dhe si mund t'ju ndihmojmë?|Gjeni kohë për të lavdëruar Perëndinë dhe për t'u lutur për nevojat.|Si e keni vënë në praktikë atë që kemi studiuar herën e fundit që jemi takuar?|Na tregoni për bisedat që keni pasur në vaktin e fundit në fshat. A ka ndonjë njerëz që tregoi interes për të mësuar më shumë për Jezusin?|Lexoni titullin për këtë diskutim.|Kërkojini dikujt të lexojë fragmentin një paragraf në të njëjtën kohë.|Vëreni një anëtar të grupit ta tregojë me fjalët e veta.|Pyetni grupin nëse kanë shtuar ndonjë gjë ose kanë lënë ndonjë gjë jashtë.|Kur të përfundoni me TË GJITHË paragrafët, kërkoni dikë në grup të tregojë TË GJITHË historinë me kujtesë. Lëreni grupin të korrigjojë çdo gabim.|Çfarë na thotë ky pasazh për Perëndinë?|Çfarë na tregon ky pasazh për njerëzit?|Si lidhet ky pasazh me titullin e këtij diskutimi?|Si mund ta zbatojmë këtë Shkrim: A ka një mëkat për t'u shmangur, Premtim për të pretenduar, Shembull për t'u ndjekur, Urdhër për t'u bindur?|Si mund t'ju ndihmojë ky pasazh të ndërveproni me njerëzit në fshat?|Kujt do t'i tregoni ato që keni mësuar sot? Çfarë do t'u thuash atyre?|Çfarë nevojash keni vënë re së fundmi? A mund të takojmë ndonjë prej tyre?|Kur dëshironi të takohemi përsëri?|Zbulimi i Udhëheqjes Shpirtërore|Udhëheqësit duhet të vazhdojnë të rriten në karakter dhe aftësi|Si i ndihmoni drejtuesit tuaj të zhvillojnë karakterin dhe aftësitë që u nevojiten për të udhëhequr një rrjet shumëfishues të Studimeve Biblike Discovery?|Pyetjet që ata sjellin në Shkrim ndikohen nga nevojat e grupeve që ata drejtojnë.|Ne po i gjejmë këto tema, pasazhe dhe pyetje efektive në trajnimin e udhëheqësve tanë.|Krijo skicën tani|Shkarkoni Skicë|Lexo më shumë|(kaloni një të tretën e kohës tuaj në këtë seksion)|Shkruani shënimet tuaja për Look Back këtu|Shkruani shënimet tuaja për Look Up këtu|Shkruani shënimet tuaja për Look Forward këtu
Amharic||am|ወደ ኋላ ተመልከት|ወደ ላይ ይመልከቱ|ወደፊት መመልከት|መሪዎች ክርስቶስን እንዲከተሉ ሌሎችን ይጠራሉ|መሪዎች አመለካከትን ያስተምራሉ እግዚአብሔር ይባርካል|መሪዎች አመለካከትን ያስተምራሉ እግዚአብሔር ይባርካል|መሪዎች እግዚአብሔርን ለማስደሰት ይፈልጋሉ|መሪዎች እግዚአብሔርን ያገለግላሉ|መሪዎች በቅንነት ይፍረዱ|መሪዎች በቅንነት ይፍረዱ|መሪዎች እግዚአብሔርን ይፈልጋሉ|መሪዎች እግዚአብሔርን ይታዘዛሉ|መሪዎች ከሀጢአተኞች እና ከሀጢአተኞች ይንከባከባሉ።|መሪዎች ያስተምራሉ፣ ይሰብካሉ እና ይፈውሳሉ|መሪዎች ሰዎችን ይልካሉ|መሪዎች ለስደት ይዘጋጃሉ።|መሪዎች ለደከመው እረፍት ይሰጣሉ|መሪዎች ስለ መንግሥቱ ያስተምራሉ።|መሪዎች ወጪውን ይቀበላሉ|መሪዎች ኢየሱስን ስሙት።|መሪዎች ስለ እምነት ያስተምራሉ።|መሪዎች ኃጢአትን ይቋቋማሉ|መሪዎች ጋብቻን ያከብራሉ|መሪዎች አገልጋዮች ናቸው።|መሪዎች በአዛኝነታቸው ምክንያት ፍላጎቶችን ያሟላሉ።|መሪዎች በታማኝነት ኢንቨስት ያደርጋሉ|መሪዎች የተቸገሩትን ያገለግላሉ|መሪዎች ሌሎች እንዲታዘዙ ያስተምራሉ|በዚህ ሳምንት ምን አመሰግናለሁ?|በምን እየታገልክ ነው እና እንዴት መርዳት እንችላለን?|እግዚአብሔርን ለማመስገን እና ለፍላጎቶች ለመጸለይ ጊዜ ይውሰዱ።|ባለፈው ስንገናኝ ያጠናነውን እንዴት ተግባራዊ አደረግከው?|በመጨረሻው መንደር ውስጥ ስላደረጋችሁት ንግግር ንገሩን። ስለ ኢየሱስ የበለጠ ለማወቅ ፍላጎት ያሳዩ ሰዎች አሉ?|ለዚህ ውይይት ርዕስ አንብብ።|አንድ ሰው አንቀጹን አንድ አንቀጽ እንዲያነብ ጠይቅ።|አንድ የቡድን አባል በራሳቸው ቃላት እንዲናገሩ ያድርጉ።|ምንም ነገር እንዳከሉ ወይም የሆነ ነገር ትተው እንደሆነ ቡድኑን ይጠይቁ።|በሁሉም አንቀጾች ሲጨርሱ በቡድኑ ውስጥ ያለ አንድ ሰው ሙሉውን ታሪክ በማስታወስ እንዲናገር ይጠይቁ። ቡድኑ ማንኛውንም ስህተቶች እንዲያስተካክል ያድርጉ።|ይህ ክፍል ስለ እግዚአብሔር ምን ይነግረናል?|ይህ ክፍል ስለ ሰዎች ምን ይነግረናል?|ይህ ክፍል ከዚህ ውይይት ርዕስ ጋር እንዴት ይዛመዳል?|ይህንን ቅዱሳት መጻህፍት እንዴት ልንጠቀምበት እንችላለን፡- የምናስወግደው ኃጢአት አለን?|ይህ ምንባብ በመንደሩ ውስጥ ካሉ ሰዎች ጋር እንድትገናኝ እንዴት ሊረዳህ ይችላል?|ዛሬ የተማርከውን ለማን ትናገራለህ? ምን ትነግራቸዋለህ?|በቅርብ ጊዜ ምን ፍላጎቶች ታዝበዋል? ከእነሱ አንዱን ማግኘት እንችላለን?|መቼ እንደገና መገናኘት ይፈልጋሉ?|መንፈሳዊ መሪነትን ማግኘት|መሪዎች በባህሪ እና በክህሎት ማደግ አለባቸው|እንዴት ነው መሪዎቻችሁ የግኝት የመጽሐፍ ቅዱስ ጥናቶች ተባዛ አውታረ መረብን ለመምራት የሚያስፈልጋቸውን ባህሪ እና ችሎታ እንዲያዳብሩ እንዴት ትረዷቸዋላችሁ?|ወደ ቅዱሳት መጻሕፍት የሚያነሷቸው ጥያቄዎች የሚመሩዋቸው ቡድኖች ፍላጎት ተጽዕኖ ያሳድራሉ።|መሪዎቻችንን በማሰልጠን ረገድ እነዚህ ርዕሶች፣ ምንባቦች እና ጥያቄዎች ውጤታማ ሆነው እያገኘናቸው ነው።|አሁን Outline ፍጠር|አውርድን አውርድ|ተጨማሪ ያንብቡ|(በዚህ ክፍል ላይ አንድ ሶስተኛ ጊዜዎን ያሳልፉ)|ወደ ኋላ ተመልከት የሚለውን ማስታወሻ እዚህ ጻፍ|ለ Look Up ማስታወሻዎን እዚህ ይጻፉ|ወደፊት ወደፊት ለመፈለግ ማስታወሻዎን እዚህ ይጻፉ
Arabic|arq00|ar|انظر إلى الوراء|ابحث عن|أتطلّع لذلك|يدعو القادة الآخرين لاتباع المسيح|القادة يعلمون المواقف بارك الله فيكم|القادة يعلمون المواقف بارك الله فيكم|القادة يسعون إلى إرضاء الله|القادة يخدمون الله|القادة يحكمون بالعدل|القادة يحكمون بالعدل|القادة يلجأون إلى الله|القادة اتقوا الله|يهتم القادة بالمنبوذين والخطاة|القادة يعلمون ويبشرون ويشفون|القادة يرسلون الناس للخارج|القادة يستعدون للاضطهاد|القادة يقدمون الراحة للمتعبين|القادة يعلمون عن المملكة|القادة يقبلون التكلفة|القادة يستمعون إلى يسوع|القادة يعلمون عن الإيمان|القادة يتعاملون مع الخطيئة|القادة يكرمون الزواج|القادة خدم|القادة يلبون الاحتياجات بسبب تعاطفهم|القادة يستثمرون بأمانة|القادة يخدمون المحتاجين|القادة يعلمون الآخرين الطاعة|ما الذي أنت شاكر له هذا الأسبوع؟|ما الذي تعاني منه وكيف يمكننا مساعدتك؟|خذ وقتًا لتسبيح الله والصلاة من أجل الاحتياجات.|كيف طبقت ما درسناه في آخر مرة التقينا فيها؟|أخبرنا عن المحادثات التي أجريتها في الوجبة الأخيرة في القرية. هل هناك أي أشخاص أبدوا اهتمامًا بمعرفة المزيد عن يسوع؟|اقرأ عنوان هذه المناقشة.|اطلب من شخص ما أن يقرأ المقطع فقرة واحدة في كل مرة.|اطلب من أحد أعضاء المجموعة أن يقول ذلك بكلماته الخاصة.|اسأل المجموعة عما إذا كانوا قد أضافوا أي شيء أو تركوا أي شيء.|عند الانتهاء من جميع الفقرات، اطلب من أحد أفراد المجموعة أن يروي القصة بأكملها عن طريق الذاكرة. اطلب من المجموعة تصحيح أي أخطاء.|ماذا يخبرنا هذا المقطع عن الله؟|ماذا يخبرنا هذا المقطع عن الناس؟|كيف يرتبط هذا المقطع بعنوان هذه المناقشة؟|كيف يمكننا تطبيق هذه الآية: هل هناك خطية يجب تجنبها، أو وعد بالمطالبة بها، أو مثال يجب اتباعه، أو وصية يجب طاعتها؟|كيف يمكن أن يساعدك هذا المقطع على التفاعل مع الناس في القرية؟|من ستخبره بما تعلمته اليوم؟ ماذا ستقول لهم؟|ما هي الاحتياجات التي لاحظتها مؤخرًا؟ هل يمكننا أن نلتقي بأي منهم؟|متى تريد أن نلتقي مرة أخرى؟|اكتشاف القيادة الروحية|يحتاج القادة إلى الاستمرار في النمو في الشخصية والمهارة|كيف تساعد قادتك على تطوير الشخصية والمهارات التي يحتاجون إليها لقيادة شبكة متعددة من دراسات الكتاب المقدس الاستكشافية؟|وتتأثر الأسئلة التي يطرحونها على الكتاب المقدس باحتياجات المجموعات التي يقودونها.|إننا نجد هذه المواضيع والمقاطع والأسئلة فعالة في تدريب قادتنا.|إنشاء مخطط تفصيلي الآن|تحميل الخطوط العريضة|اقرأ المزيد|(اقضي ثلث وقتك في هذا القسم)|اكتب ملاحظاتك لـ Look Back هنا|اكتب ملاحظاتك للبحث هنا|اكتب ملاحظاتك عن Look Forward هنا
Armenian|arm00|hy|Հետ նայիր|Նայեք Վերև|Նայեք առաջ|Առաջնորդները կոչ են անում մյուսներին հետևել Քրիստոսին|Առաջնորդները սովորեցնում են վերաբերմունք, որ Աստված օրհնում է|Առաջնորդները սովորեցնում են վերաբերմունք, որ Աստված օրհնում է|Առաջնորդները ձգտում են հաճեցնել Աստծուն|Առաջնորդները ծառայում են Աստծուն|Առաջնորդները արդար են դատում|Առաջնորդները արդար են դատում|Առաջնորդները փնտրում են Աստծուն|Առաջնորդները հնազանդվում են Աստծուն|Առաջնորդները հոգ են տանում վտարվածների և մեղավորների համար|Առաջնորդները ուսուցանում են, քարոզում և բժշկում|Առաջնորդները մարդկանց դուրս են ուղարկում|Առաջնորդները պատրաստվում են հալածանքների|Առաջնորդները հանգստություն են առաջարկում հոգնածներին|Առաջնորդները սովորեցնում են Թագավորության մասին|Առաջնորդներն ընդունում են արժեքը|Առաջնորդները լսում են Հիսուսին|Առաջնորդները սովորեցնում են հավատքի մասին|Առաջնորդները գործ ունեն մեղքի հետ|Առաջնորդները հարգում են ամուսնությունը|Առաջնորդները ծառաներ են|Առաջնորդները բավարարում են կարիքները իրենց կարեկցանքի շնորհիվ|Առաջնորդները հավատարմորեն ներդրումներ են կատարում|Առաջնորդները ծառայում են կարիքավորներին|Առաջնորդները սովորեցնում են ուրիշներին հնազանդվել|Ինչի՞ համար եք շնորհակալ այս շաբաթ:|Ինչի՞ հետ եք պայքարում և ինչպե՞ս կարող ենք օգնել:|Ժամանակ հատկացրեք Աստծուն փառաբանելու և կարիքների համար աղոթելու համար:|Ինչպե՞ս եք գործնականում կիրառել այն, ինչ մենք ուսումնասիրել ենք վերջին անգամ, երբ հանդիպեցինք:|Պատմեք գյուղում վերջին ճաշի ժամանակ ձեր ունեցած խոսակցությունների մասին։ Կա՞ն մարդիկ, ովքեր հետաքրքրություն են ցուցաբերել ավելին իմանալու Հիսուսի մասին։|Կարդացեք այս քննարկման վերնագիրը:|Խնդրեք որևէ մեկին կարդալ հատվածը մեկ պարբերություն:|Խմբի անդամներից մեկին խնդրեք պատմել այն իր խոսքերով:|Հարցրեք խմբին՝ արդյոք նրանք որևէ բան ավելացրել են կամ բաց թողել որևէ բան:|Երբ ավարտեք ԲՈԼՈՐ պարբերություններով, խնդրեք խմբից որևէ մեկին հիշողությամբ պատմել ԱՄԲՈՂՋ պատմությունը: Խնդրեք խմբին ուղղել ցանկացած սխալ:|Ի՞նչ է մեզ ասում այս հատվածը Աստծո մասին:|Ի՞նչ է մեզ ասում այս հատվածը մարդկանց մասին:|Ինչպե՞ս է այս հատվածը կապված այս քննարկման վերնագրի հետ:|Ինչպե՞ս կարող ենք կիրառել այս Սուրբ Գիրքը. Կա՞ մեղք, որից պետք է խուսափել, խոստում պահանջել, օրինակ, որին պետք է հետևել, պատվիրան հնազանդվել:|Ինչպե՞ս կարող է այս հատվածն օգնել ձեզ շփվել գյուղի մարդկանց հետ:|Ո՞ւմ կասեք, թե ինչ եք սովորել այսօր: Ի՞նչ կասեք նրանց։|Ի՞նչ կարիքներ եք նկատել վերջին շրջանում: Կարո՞ղ ենք հանդիպել նրանցից որևէ մեկին:|Ե՞րբ եք ցանկանում կրկին հանդիպել:|Հոգևոր առաջնորդության բացահայտում|Առաջնորդները պետք է շարունակեն աճել բնավորությամբ և հմտություններով|Ինչպե՞ս եք օգնում ձեր ղեկավարներին զարգացնել բնավորությունը և հմտությունները, որոնք նրանց անհրաժեշտ են Discovery Աստվածաշնչի ուսումնասիրությունների բազմապատկվող ցանցը ղեկավարելու համար:|Հարցերը, որոնք նրանք բերում են Սուրբ Գրքին, ազդում են իրենց ղեկավարած խմբերի կարիքների վրա:|Մենք գտնում ենք, որ այս թեմաները, հատվածները և հարցերն արդյունավետ են մեր ղեկավարներին վերապատրաստելու համար:|Ստեղծեք ուրվագիծ հիմա|Ներբեռնեք ուրվագիծը|Կարդալ ավելին|(Ձեր ժամանակի մեկ երրորդը ծախսեք այս բաժնի վրա)|Գրեք ձեր գրառումները Look Back-ի համար այստեղ|Գրեք ձեր գրառումները Look Up-ի համար այստեղ|Գրեք ձեր գրառումները Look Forward-ի համար այստեղ
|aze00|az|Geriyə bax|Yuxarı Baxın|İrəli Baxın|Liderlər başqalarını Məsihin ardınca getməyə çağırırlar|Rəhbərlər Münasibətləri Öyrətir Allah Bərəkət Verir|Rəhbərlər Münasibətləri Öyrətir Allah Bərəkət Verir|Liderlər Allahı razı salmağa çalışırlar|Liderlər Allaha qulluq edirlər|Liderlər ədalətlə mühakimə edirlər|Liderlər ədalətlə mühakimə edirlər|Liderlər Allahı axtarırlar|Rəhbərlər Allaha itaət edirlər|Liderlər Təcrid olunmuşlara və Günahkarlara Qayğı|Liderlər öyrədir, təbliğ edir və şəfa verir|Liderlər insanları xaricə göndərir|Liderlər Təqiblərə Hazırlaşır|Liderlər Yorğunlara İstirahət təklif edir|Liderlər Padşahlıq haqqında öyrədirlər|Liderlər xərcləri qəbul edirlər|Liderlər İsaya qulaq asırlar|Liderlər iman haqqında öyrədirlər|Liderlər günahla məşğul olurlar|Liderlər evliliyə hörmət edirlər|Liderlər xidmətçilərdir|Rəhbərlər Ehtiyaclarını Şəfqətlərinə görə qarşılayırlar|Liderlər sədaqətlə sərmayə qoyurlar|Liderlər ehtiyacı olanlara xidmət edir|Liderlər başqalarına itaət etməyi öyrədirlər|Bu həftə nəyə görə minnətdarsınız?|Nə ilə mübarizə aparırsınız və necə kömək edə bilərik?|Allaha həmd etmək və ehtiyaclar üçün dua etmək üçün vaxt ayırın.|Axırıncı görüşümüzdə öyrəndiklərimizi necə tətbiq etdiniz?|Kənddə axırıncı yemək zamanı danışdığınız söhbətlərdən danışın. İsa haqqında daha çox öyrənməyə maraq göstərən insanlar varmı?|Bu müzakirənin başlığını oxuyun.|Kimdənsə parçanı hər dəfə bir abzas oxumasını xahiş edin.|Qrup üzvündən bunu öz sözləri ilə desin.|Qrupdan bir şey əlavə edib-etmədiklərini və ya bir şey buraxmadıqlarını soruşun.|BÜTÜN abzasları bitirdikdən sonra qrupdakı kimsədən BÜTÜN hekayəni yaddaşa görə danışmasını xahiş edin. Qrupdan səhvləri düzəltməsini tapşırın.|Bu parça bizə Allah haqqında nə deyir?|Bu parça bizə insanlar haqqında nə deyir?|Bu parçanın bu müzakirənin başlığı ilə əlaqəsi necədir?|Bu Müqəddəs Yazını necə tətbiq edə bilərik: Qaçmaq üçün günah, iddia etmək vəd etmək, əməl etmək üçün nümunə, itaət etmək əmri varmı?|Bu keçid kənddəki insanlarla ünsiyyət qurmağınıza necə kömək edə bilər?|Bu gün öyrəndiklərini kimə deyəcəksən? Onlara nə deyəcəksən?|Son vaxtlar hansı ehtiyacları müşahidə etmisiniz? Onlardan hər hansı biri ilə tanış ola bilərikmi?|Yenidən nə vaxt görüşmək istəyirsən?|Ruhani Liderliyin Kəşf Edilməsi|Liderlər xarakter və bacarıq baxımından böyüməyə davam etməlidirlər|Liderlərinizə Discovery Bible Studies şəbəkəsinə rəhbərlik etmək üçün lazım olan xarakter və bacarıqları inkişaf etdirməyə necə kömək edirsiniz?|Onların Müqəddəs Yazılara gətirdikləri suallara rəhbərlik etdikləri qrupların ehtiyacları təsir edir.|Bu mövzuları, keçidləri və sualları liderlərimizin hazırlanmasında təsirli hesab edirik.|İndi kontur yaradın|Təsviri yükləyin|Daha ətraflı oxuyun|(vaxtınızın üçdə birini bu bölməyə sərf edin)|Geriyə Bax üçün qeydlərinizi buraya yazın|Axtarış üçün qeydlərinizi buraya yazın|Gözləyin üçün qeydlərinizi buraya yazın
Assamese||as||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aymara||ay||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Azerbaijani||az||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
