language.title|language.hlCode|language.google|look_back.title|look_back.question.1|look_back.question.2|look_back.question.3|look_back.question.4|look_up.title|look_up.instruction.1|look_up.instruction.2|look_up.instruction.3|look_up.question.1|look_up.question.2|look_up.question.3|look_forward.title|look_forward.question.1|look_forward.question.2|look_forward.question.3|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|question.1|question.2|question.3|question.4|question.5|question.6|question.7|question.8|question.9|question.10|question.11|question.12|question.13|question.14|question.15|question.16|question.17|question.18|question.19|question.20|question.21|question.22|question.23|read_more|timing|notes.lookback|notes.lookup|notes.lookforward
English|eng00|en|Look Back|What are you thankful for and what has been challenging for you since we last met?|How have you experienced God at work in your life lately?|How have you been able to care for your friends or neighbours lately?|How did you go with your application from the last time we met?|Look Up|Read the passage aloud.|Have one person retell the passage in their own words with help from the group.|Was there anything missed or added?|What stands out for you in this passage?|What does this passage tell you about Jesus, God, people and you?|How does this passage relate to the title for this discussion?|Look Forward|If this passage is from God, what difference would it make in your life?|How are you going to apply this passage this week?|Who will you share this passage with? What part of it might speak to them?|Money|Comparing|Reconciliation|Relationships|Judgment|Forgiveness|Enemies|Conflict|The poor|What is important?|Good enough?|Self|Investing wisely|Spoken words|Thankfulness|Control|Stressed?|Acceptance|Free speech?|Wisdom|Respond?|What about faith?|Why am I here?|What does this passage say about money?|What does this passage say about comparing?|What does this passage say about reconciliation?|What does this passage say about relationships?|What does this passage say about judgment?|What does this passage say about forgiveness?|What does this passage say about relating to enemies?|What does this passage say about conflict?|What does this passage say about relating to the poor?|What does this passage say about what is important?|What does this passage say about good enough?|What does this passage say about self?|What does this passage say about investing wisely?|What does this passage say about spoken words?|What does this passage say about thankfulness?|What does this passage say about control?|What does this passage say about stress?|What does this passage say about acceptance?|What does this passage say about free speech?|What does this passage say about wisdom?|What does this passage say about responding to God?|What does this passage say about faith?|What does this passage say about why am I here?|Read more|(spend one third of your time on this section)|Write your notes for Look Back here|Write your notes for Look Up here|Write your notes for Look Forward here
Afrikaans|afk00|af|Kyk Terug|Waarvoor is jy dankbaar en wat was vir jou uitdagend sedert ons laas ontmoet het?|Hoe het jy God die afgelope tyd aan die werk in jou lewe ervaar?|Hoe kon jy die afgelope tyd vir jou vriende of bure sorg?|Hoe het jy gegaan met jou aansoek van die laaste keer toe ons ontmoet het?|Kyk op|Lees die gedeelte hardop.|Laat een persoon die gedeelte in hul eie woorde oorvertel met hulp van die groep.|Is daar iets gemis of bygevoeg?|Wat staan ​​vir jou uit in hierdie gedeelte?|Wat sê hierdie gedeelte vir jou oor Jesus, God, mense en jou?|Hoe hou hierdie gedeelte verband met die titel van hierdie bespreking?|Kyk vorentoe|As hierdie gedeelte van God is, watter verskil sal dit in jou lewe maak?|Hoe gaan jy hierdie gedeelte hierdie week toepas?|Met wie sal jy hierdie gedeelte deel? Watter deel daarvan kan tot hulle spreek?|Geld|Vergelyk|Versoening|Verhoudings|Oordeel|Vergifnis|Vyande|Konflik|Die armes|Wat is belangrik?|Goed genoeg?|Self|Belê verstandig|Gesproke woorde|Dankbaarheid|Beheer|Gestres?|Aanvaarding|Vrye spraak?|Wysheid|Reageer?|Wat van geloof?|Hoekom is ek hier?|Wat sê hierdie gedeelte oor geld?|Wat sê hierdie gedeelte oor vergelyking?|Wat sê hierdie gedeelte oor versoening?|Wat sê hierdie gedeelte oor verhoudings?|Wat sê hierdie gedeelte oor oordeel?|Wat sê hierdie gedeelte oor vergifnis?|Wat sê hierdie gedeelte oor die verband met vyande?|Wat sê hierdie gedeelte oor konflik?|Wat sê hierdie gedeelte oor die verhouding met die armes?|Wat sê hierdie gedeelte oor wat belangrik is?|Wat sê hierdie gedeelte oor goed genoeg?|Wat sê hierdie gedeelte oor self?|Wat sê hierdie gedeelte oor verstandig belê?|Wat sê hierdie gedeelte oor gesproke woorde?|Wat sê hierdie gedeelte oor dankbaarheid?|Wat sê hierdie gedeelte oor beheer?|Wat sê hierdie gedeelte oor stres?|Wat sê hierdie gedeelte oor aanvaarding?|Wat sê hierdie gedeelte oor vrye spraak?|Wat sê hierdie gedeelte oor wysheid?|Wat sê hierdie gedeelte oor reaksie op God?|Wat sê hierdie gedeelte oor geloof?|Wat sê hierdie gedeelte oor hoekom ek hier is?|Lees meer|(Spandeer een derde van jou tyd aan hierdie afdeling)|Skryf jou notas vir Terugkyk hier|Skryf jou notas vir Look Up hier|Skryf jou notas vir Kyk vorentoe hier
Albanian|aln00|sq|Shiko prapa|Për çfarë jeni mirënjohës dhe çfarë ka qenë sfiduese për ju që kur u takuam për herë të fundit?|Si e keni përjetuar Zotin në punë në jetën tuaj kohët e fundit?|Si keni qenë në gjendje të kujdeseni për miqtë ose fqinjët tuaj kohët e fundit?|Si shkuat me aplikimin tuaj nga hera e fundit që u takuam?|Shikoni lart|Lexoni fragmentin me zë të lartë.|Vëreni një person të ritregojë fragmentin me fjalët e tij me ndihmën e grupit.|A ka munguar apo shtuar ndonjë gjë?|Çfarë të bie në sy në këtë pasazh?|Çfarë ju thotë ky pasazh për Jezusin, Perëndinë, njerëzit dhe ju?|Si lidhet ky pasazh me titullin e këtij diskutimi?|Shikoni përpara|Nëse ky pasazh është nga Zoti, çfarë ndryshimi do të kishte në jetën tuaj?|Si do ta zbatoni këtë pasazh këtë javë?|Me kë do ta ndani këtë pasazh? Cila pjesë e saj mund t'u flasë atyre?|Paratë|Duke krahasuar|Pajtimi|Marrëdhëniet|Gjykimi|falje|Armiqtë|Konflikti|Të varfërit|Çfarë është e rëndësishme?|Mjaft mirë?|Vetë|Investimi me mençuri|Fjalët e folura|Mirënjohje|Kontrolli|E stresuar?|Pranimi|Fjala e lirë?|Mençuria|Përgjigje?|Po besimi?|Pse jam këtu?|Çfarë thotë ky pasazh për paratë?|Çfarë thotë ky pasazh për krahasimin?|Çfarë thotë ky pasazh për pajtimin?|Çfarë thotë ky pasazh për marrëdhëniet?|Çfarë thotë ky pasazh për gjykimin?|Çfarë thotë ky pasazh për faljen?|Çfarë thotë ky pasazh për lidhjen me armiqtë?|Çfarë thotë ky pasazh për konfliktin?|Çfarë thotë ky pasazh për lidhjen me të varfërit?|Çfarë thotë ky pasazh për atë që është e rëndësishme?|Çfarë thotë ky pasazh për mjaft mirë?|Çfarë thotë ky pasazh për veten?|Çfarë thotë ky pasazh për investimin me mençuri?|Çfarë thotë ky pasazh për fjalët e folura?|Çfarë thotë ky pasazh për mirënjohjen?|Çfarë thotë ky pasazh për kontrollin?|Çfarë thotë ky pasazh për stresin?|Çfarë thotë ky pasazh për pranimin?|Çfarë thotë ky pasazh për lirinë e fjalës?|Çfarë thotë ky pasazh për mençurinë?|Çfarë thotë ky pasazh për përgjigjen ndaj Perëndisë?|Çfarë thotë ky pasazh për besimin?|Çfarë thotë ky pasazh përse jam këtu?|Lexo më shumë|(kaloni një të tretën e kohës tuaj në këtë seksion)|Shkruani shënimet tuaja për Look Back këtu|Shkruani shënimet tuaja për Look Up këtu|Shkruani shënimet tuaja për Look Forward këtu
Amharic||am|ወደ ኋላ ተመልከት|ለመጨረሻ ጊዜ ከተገናኘን በኋላ ምን አመሰግናለው እና ምን ፈታኝ ሆኖብሃል?|በቅርብ ጊዜ በህይወቶ ሲሰራ እንዴት አገኙት?|በቅርብ ጊዜ ጓደኞችዎን ወይም ጎረቤቶችዎን እንዴት መንከባከብ ቻሉ?|ባለፈው ከተገናኘንበት ጊዜ ጀምሮ ማመልከቻዎን እንዴት ይዘው ሄዱ?|ወደ ላይ ይመልከቱ|አንቀጹን ጮክ ብለህ አንብብ።|አንድ ሰው ከቡድኑ በተገኘ እርዳታ አንቀጹን በራሱ ቃላቶች እንደገና እንዲናገር ያድርጉ።|ያመለጠ ወይም የተጨመረ ነገር ነበረ?|በዚህ ምንባብ ውስጥ ለእርስዎ ልዩ የሆነው ምንድን ነው?|ይህ ክፍል ስለ ኢየሱስ፣ አምላክ፣ ሰዎች እና አንተ ምን ይነግርሃል?|ይህ ክፍል ከዚህ ውይይት ርዕስ ጋር እንዴት ይዛመዳል?|ወደፊት መመልከት|ይህ ክፍል ከእግዚአብሔር ከሆነ በህይወታችሁ ውስጥ ምን ለውጥ ያመጣል?|በዚህ ሳምንት ይህንን ምንባብ እንዴት ተግባራዊ ያደርጋሉ?|ይህን ክፍል ከማን ጋር ታካፍላለህ? የትኛው ክፍል ሊያናግራቸው ይችላል?|ገንዘብ|ማወዳደር|እርቅ|ግንኙነቶች|ፍርድ|ይቅርታ|ጠላቶች|ግጭት|ድሆች|ጠቃሚ የሆነው ምንድን ነው?|በቂ ነው?|እራስ|በጥበብ ኢንቨስት ማድረግ|የሚነገሩ ቃላት|ምስጋና|ቁጥጥር|ተጨንቋል?|መቀበል|ነፃ ንግግር?|ጥበብ|ምላሽ ይስጡ?|እምነትስ?|ለምን እዚህ ነኝ?|ይህ ክፍል ስለ ገንዘብ ምን ይላል?|ይህ ክፍል ስለ ማወዳደር ምን ይላል?|ይህ ክፍል ስለ እርቅ ምን ይላል?|ይህ ክፍል ስለ ግንኙነቶች ምን ይላል?|ይህ ክፍል ስለ ፍርድ ምን ይላል?|ይህ ክፍል ስለ ይቅርታ ምን ይላል?|ይህ ክፍል ስለ ጠላቶች ምን ይላል?|ይህ ክፍል ስለ ግጭት ምን ይላል?|ይህ ክፍል ድሆችን ስለመገናኘት ምን ይላል?|ይህ ክፍል ስለ አስፈላጊው ነገር ምን ይላል?|ይህ ምንባብ ስለ ጥሩ ነገር ምን ይላል?|ይህ ክፍል ስለራስ ምን ይላል?|ይህ ምንባብ በጥበብ ኢንቨስት ስለማድረግ ምን ይላል?|ይህ ክፍል ስለ ንግግር ቃላት ምን ይላል?|ይህ ክፍል ስለ ምስጋና ምን ይላል?|ይህ ክፍል ስለ ቁጥጥር ምን ይላል?|ይህ ክፍል ስለ ጭንቀት ምን ይላል?|ይህ ክፍል ስለ መቀበል ምን ይላል?|ይህ ክፍል ስለመናገር ነፃነት ምን ይላል?|ይህ ክፍል ስለ ጥበብ ምን ይላል?|ይህ ክፍል ለእግዚአብሔር ምላሽ ስለመስጠት ምን ይላል?|ይህ ክፍል ስለ እምነት ምን ይላል?|ይህ ክፍል ለምን እዚህ እንደመጣሁ ምን ይላል?|ተጨማሪ ያንብቡ|(በዚህ ክፍል ላይ አንድ ሶስተኛ ጊዜዎን ያሳልፉ)|ወደ ኋላ ተመልከት የሚለውን ማስታወሻ እዚህ ጻፍ|ለ Look Up ማስታወሻዎን እዚህ ይጻፉ|ወደፊት ወደፊት ለመፈለግ ማስታወሻዎን እዚህ ይጻፉ
Arabic|arq00|ar|انظر إلى الوراء|ما الذي أنت ممتن له وما الذي كان يمثل تحديًا بالنسبة لك منذ آخر مرة التقينا فيها؟|كيف اختبرت عمل الله في حياتك مؤخرًا؟|كيف تمكنت من رعاية أصدقائك أو جيرانك مؤخرًا؟|كيف سارت الأمور مع طلبك منذ آخر مرة التقينا فيها؟|ابحث عن|اقرأ المقطع بصوت عالٍ.|اطلب من شخص واحد أن يعيد سرد المقطع بكلماته الخاصة بمساعدة المجموعة.|هل كان هناك شيء مفقود أو مضاف؟|ما الذي يلفت انتباهك في هذا المقطع؟|ماذا يخبرك هذا المقطع عن يسوع والله والناس وأنت؟|كيف يرتبط هذا المقطع بعنوان هذه المناقشة؟|أتطلّع لذلك|إذا كان هذا المقطع من الله، فما الفرق الذي سيحدثه في حياتك؟|كيف ستطبق هذا المقطع هذا الأسبوع؟|مع من ستشارك هذا المقطع؟ أي جزء منه قد يتحدث إليهم؟|مال|مقارنة|مصالحة|العلاقات|الحكم|مغفرة|الأعداء|صراع|الفقراء|ما هو المهم؟|جيد بما فيه الكفاية؟|النفس|الاستثمار بحكمة|الكلمات المنطوقة|الشكر|يتحكم|وشدد؟|قبول|حرية التعبير؟|حكمة|يرد؟|ماذا عن الإيمان؟|لماذا أنا هنا؟|ماذا يقول هذا المقطع عن المال؟|ماذا يقول هذا المقطع عن المقارنة؟|ماذا يقول هذا المقطع عن المصالحة؟|ماذا يقول هذا المقطع عن العلاقات؟|ماذا يقول هذا المقطع عن الدينونة؟|ماذا يقول هذا المقطع عن المغفرة؟|ماذا يقول هذا المقطع عن التعامل مع الأعداء؟|ماذا يقول هذا المقطع عن الصراع؟|ماذا يقول هذا المقطع عن التعامل مع الفقراء؟|ماذا يقول هذا المقطع عما هو مهم؟|ماذا يقول هذا المقطع عن الخير بما فيه الكفاية؟|ماذا يقول هذا المقطع عن النفس؟|ماذا يقول هذا المقطع عن الاستثمار بحكمة؟|ماذا يقول هذا المقطع عن الكلمات المنطوقة؟|ماذا يقول هذا المقطع عن الشكر؟|ماذا يقول هذا المقطع عن السيطرة؟|ماذا يقول هذا المقطع عن التوتر؟|ماذا يقول هذا المقطع عن القبول؟|ماذا يقول هذا المقطع عن حرية التعبير؟|ماذا يقول هذا المقطع عن الحكمة؟|ماذا يقول هذا المقطع عن الرد على الله؟|ماذا يقول هذا المقطع عن الإيمان؟|ماذا يقول هذا المقطع عن سبب وجودي هنا؟|اقرأ المزيد|(اقضي ثلث وقتك في هذا القسم)|اكتب ملاحظاتك لـ Look Back هنا|اكتب ملاحظاتك للبحث هنا|اكتب ملاحظاتك عن Look Forward هنا
Armenian|arm00|hy|Հետ նայիր|Ինչի՞ համար եք շնորհակալ և ի՞նչն է ձեզ համար դժվար եղել մեր վերջին հանդիպումից հետո:|Ինչպե՞ս եք վերջին ժամանակներս զգում Աստծուն աշխատանքի ժամանակ:|Ինչպե՞ս եք կարողացել վերջերս հոգ տանել ձեր ընկերների կամ հարևանների մասին:|Ինչպե՞ս վարվեցիք ձեր դիմումի հետ վերջին անգամից, երբ հանդիպեցինք:|Նայեք Վերև|Բարձրաձայն կարդացեք հատվածը:|Հանձնարարեք մեկին խմբի օգնությամբ վերապատմել հատվածն իր բառերով:|Բաց թողնված կամ ավելացված բան կա՞ր։|Ի՞նչն է ձեզ համար առանձնանում այս հատվածում:|Ի՞նչ է ձեզ ասում այս հատվածը Հիսուսի, Աստծո, մարդկանց և ձեր մասին:|Ինչպե՞ս է այս հատվածը կապված այս քննարկման վերնագրի հետ:|Նայեք առաջ|Եթե ​​այս հատվածը Աստծուց է, ի՞նչ տարբերություն այն կբերի ձեր կյանքում:|Ինչպե՞ս եք պատրաստվում կիրառել այս հատվածը այս շաբաթ:|Ո՞ւմ հետ կկիսվես այս հատվածով: Դրա ո՞ր մասը կարող է խոսել նրանց հետ:|Փող|Համեմատելով|Հաշտեցում|Հարաբերություններ|Դատաստան|Ներողամտություն|Թշնամիներ|Կոնֆլիկտ|Աղքատները|Ի՞նչն է կարևոր։|Բավական լավ?|Ինքն|Խելամիտ ներդրումներ կատարել|Բանավոր խոսքեր|Երախտագիտություն|Վերահսկողություն|Սթրեսվա՞ծ:|Ընդունում|Ազատ խոսք?|Իմաստություն|Պատասխանե՞լ:|Իսկ ի՞նչ կասեք հավատքի մասին։|Ինչո՞ւ եմ ես այստեղ:|Ի՞նչ է ասում այս հատվածը փողի մասին:|Ի՞նչ է ասում այս հատվածը համեմատության մասին:|Ի՞նչ է ասում այս հատվածը հաշտեցման մասին:|Ի՞նչ է ասում այս հատվածը հարաբերությունների մասին:|Ի՞նչ է ասում այս հատվածը դատողության մասին:|Ի՞նչ է ասում այս հատվածը ներման մասին:|Ի՞նչ է ասում այս հատվածը թշնամիների հետ առնչվելու մասին:|Ի՞նչ է ասում այս հատվածը հակամարտության մասին:|Ի՞նչ է ասում այս հատվածը աղքատների հետ առնչվելու մասին:|Ի՞նչ է ասում այս հատվածը կարևորի մասին:|Ի՞նչ է ասում այս հատվածը բավական լավի մասին:|Ի՞նչ է ասում այս հատվածը սեփական անձի մասին:|Ի՞նչ է ասում այս հատվածը խելամտորեն ներդրումներ կատարելու մասին:|Ի՞նչ է ասում այս հատվածը ասված խոսքերի մասին:|Ի՞նչ է ասում այս հատվածը երախտագիտության մասին:|Ի՞նչ է ասում այս հատվածը վերահսկողության մասին:|Ի՞նչ է ասում այս հատվածը սթրեսի մասին:|Ի՞նչ է ասում այս հատվածը ընդունման մասին:|Ի՞նչ է ասում այս հատվածը խոսքի ազատության մասին:|Ի՞նչ է ասում այս հատվածը իմաստության մասին:|Ի՞նչ է ասում այս հատվածը Աստծուն արձագանքելու մասին:|Ի՞նչ է ասում այս հատվածը հավատքի մասին:|Ի՞նչ է ասում այս հատվածը այն մասին, թե ինչու եմ ես այստեղ:|Կարդալ ավելին|(Ձեր ժամանակի մեկ երրորդը ծախսեք այս բաժնի վրա)|Գրեք ձեր գրառումները Look Back-ի համար այստեղ|Գրեք ձեր գրառումները Look Up-ի համար այստեղ|Գրեք ձեր գրառումները Look Forward-ի համար այստեղ
|aze00|az|Geriyə bax|Nəyə görə təşəkkür edirsiniz və son görüşümüzdən bəri sizi nə çətinləşdirir?|Son vaxtlar həyatınızda Allahı işinizdə necə hiss etdiniz?|Son vaxtlar dostlarınıza və ya qonşularınıza necə qayğı göstərə bildiniz?|Sonuncu görüşümüzdən sonra ərizənizlə necə getdiniz?|Yuxarı Baxın|Parçanı ucadan oxuyun.|Bir nəfərin qrupun köməyi ilə keçidi öz sözləri ilə təkrarlamasını xahiş edin.|Buraxılan və ya əlavə olunan bir şey varmı?|Bu parçada sizin üçün nə diqqət çəkir?|Bu parça sizə İsa, Allah, insanlar və siz haqqında nə deyir?|Bu parçanın bu müzakirənin başlığı ilə necə əlaqəsi var?|İrəli Baxın|Əgər bu keçid Allahdandırsa, həyatında nə fərqi ola bilərdi?|Bu həftə bu keçidi necə tətbiq edəcəksiniz?|Bu parçanı kiminlə bölüşəcəksiniz? Bunun hansı hissəsi onlarla danışa bilər?|pul|Müqayisə edir|Barışıq|Əlaqələr|hökm|bağışlanma|Düşmənlər|Münaqişə|Kasıblar|Nə vacibdir?|Kifayət qədər yaxşıdır?|Özünü|Ağıllı investisiya|Danışıq sözlər|Minnətdarlıq|Nəzarət|Stressli?|Qəbul|Azad söz?|Hikmət|Cavab verin?|Bəs iman?|Mən niyə burdayam?|Bu parça pul haqqında nə deyir?|Bu parça müqayisə haqqında nə deyir?|Bu parça barışıq haqqında nə deyir?|Bu parça münasibətlər haqqında nə deyir?|Bu parça mühakimə haqqında nə deyir?|Bu parça bağışlanma haqqında nə deyir?|Bu parça düşmənlərlə bağlı nə deyir?|Bu parça münaqişə haqqında nə deyir?|Bu parça kasıblarla bağlı nə deyir?|Bu parça vacib olan haqqında nə deyir?|Bu parça kifayət qədər yaxşılıq haqqında nə deyir?|Bu parça özü haqqında nə deyir?|Bu keçid ağıllı investisiya haqqında nə deyir?|Bu parça danışıq sözlər haqqında nə deyir?|Bu parça minnətdarlıq haqqında nə deyir?|Bu parça nəzarət haqqında nə deyir?|Bu parça stress haqqında nə deyir?|Bu parça qəbul haqqında nə deyir?|Bu parça azad söz haqqında nə deyir?|Bu parça hikmət haqqında nə deyir?|Bu parça Allaha cavab vermək haqqında nə deyir?|Bu parça iman haqqında nə deyir?|Bu parça mənim niyə burada olduğum barədə nə deyir?|Daha ətraflı oxuyun|(vaxtınızın üçdə birini bu bölməyə sərf edin)|Geriyə Bax üçün qeydlərinizi buraya yazın|Axtarış üçün qeydlərinizi buraya yazın|Gözləyin üçün qeydlərinizi buraya yazın
Assamese||as|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aymara||ay|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Azerbaijani||az|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
